"YEAR","MONTH","AMOUNT_USED","MONTH_NUM","DATE"
2007,"JAN_AMOUNT_USED",0.00116070468,1,2007-01-01
2007,"FEB_AMOUNT_USED",0.00180211428,2,2007-02-01
2007,"MAR_AMOUNT_USED",0.00372387612,3,2007-03-01
2007,"APR_AMOUNT_USED",0.00264211416,4,2007-04-01
2007,"MAY_AMOUNT_USED",0.00435295092,5,2007-05-01
2007,"JUN_AMOUNT_USED",0.00458731212,6,2007-06-01
2007,"JUL_AMOUNT_USED",0.00423206988,7,2007-07-01
2007,"AUG_AMOUNT_USED",0.00420986724,8,2007-08-01
2007,"SEP_AMOUNT_USED",0.00311947092,9,2007-09-01
2007,"OCT_AMOUNT_USED",0,10,2007-10-01
2007,"NOV_AMOUNT_USED",0,11,2007-11-01
2007,"DEC_AMOUNT_USED",0,12,2007-12-01
2008,"JAN_AMOUNT_USED",0.0150392049,1,2008-01-01
2008,"FEB_AMOUNT_USED",0.0126844545756,2,2008-02-01
2008,"MAR_AMOUNT_USED",0.0136684139064,3,2008-03-01
2008,"APR_AMOUNT_USED",0.0272833317852,4,2008-04-01
2008,"MAY_AMOUNT_USED",0.04510959708,5,2008-05-01
2008,"JUN_AMOUNT_USED",0.0588467528268,6,2008-06-01
2008,"JUL_AMOUNT_USED",0.05461571907,7,2008-07-01
2008,"AUG_AMOUNT_USED",0.0376935822804,8,2008-08-01
2008,"SEP_AMOUNT_USED",0.0295721649384,9,2008-09-01
2008,"OCT_AMOUNT_USED",0.017419759626,10,2008-10-01
2008,"NOV_AMOUNT_USED",0.0165629967528,11,2008-11-01
2008,"DEC_AMOUNT_USED",0.0163314478872,12,2008-12-01
2009,"JAN_AMOUNT_USED",0.189747893598,1,2009-01-01
2009,"FEB_AMOUNT_USED",0.18190314582,2,2009-02-01
2009,"MAR_AMOUNT_USED",0.366128071044,3,2009-03-01
2009,"APR_AMOUNT_USED",0.411835350858,4,2009-04-01
2009,"MAY_AMOUNT_USED",0.393478701498,5,2009-05-01
2009,"JUN_AMOUNT_USED",0.359395428834,6,2009-06-01
2009,"JUL_AMOUNT_USED",0.3861893157552,7,2009-07-01
2009,"AUG_AMOUNT_USED",0.3315126504384,8,2009-08-01
2009,"SEP_AMOUNT_USED",0.28308211815,9,2009-09-01
2009,"OCT_AMOUNT_USED",0.2831155331232,10,2009-10-01
2009,"NOV_AMOUNT_USED",0.1959222134208,11,2009-11-01
2009,"DEC_AMOUNT_USED",0.1534421120004,12,2009-12-01
2010,"JAN_AMOUNT_USED",0.1374467134044,1,2010-01-01
2010,"FEB_AMOUNT_USED",0.1430640306636,2,2010-02-01
2010,"MAR_AMOUNT_USED",0.349700954448,3,2010-03-01
2010,"APR_AMOUNT_USED",0.4185643172976,4,2010-04-01
2010,"MAY_AMOUNT_USED",0.467553184308,5,2010-05-01
2010,"JUN_AMOUNT_USED",0.471260531796,6,2010-06-01
2010,"JUL_AMOUNT_USED",0.5154993660048,7,2010-07-01
2010,"AUG_AMOUNT_USED",0.44166848316,8,2010-08-01
2010,"SEP_AMOUNT_USED",0.371221109964,9,2010-09-01
2010,"OCT_AMOUNT_USED",0.262638358956,10,2010-10-01
2010,"NOV_AMOUNT_USED",0.2575029376632,11,2010-11-01
2010,"DEC_AMOUNT_USED",0.2097560616648,12,2010-12-01
2011,"JAN_AMOUNT_USED",0.5974929137628,1,2011-01-01
2011,"FEB_AMOUNT_USED",0.4655242577256,2,2011-02-01
2011,"MAR_AMOUNT_USED",0.7604005662612,3,2011-03-01
2011,"APR_AMOUNT_USED",0.6714495745632,4,2011-04-01
2011,"MAY_AMOUNT_USED",0.9114377869752,5,2011-05-01
2011,"JUN_AMOUNT_USED",0.8752357040412,6,2011-06-01
2011,"JUL_AMOUNT_USED",0.99192236931,7,2011-07-01
2011,"AUG_AMOUNT_USED",0.9384122677032,8,2011-08-01
2011,"SEP_AMOUNT_USED",0.795561049344,9,2011-09-01
2011,"OCT_AMOUNT_USED",0.7493868726804,10,2011-10-01
2011,"NOV_AMOUNT_USED",0.6231752871864,11,2011-11-01
2011,"DEC_AMOUNT_USED",0.5379202826256,12,2011-12-01
2012,"JAN_AMOUNT_USED",0.4307171789976,1,2012-01-01
2012,"FEB_AMOUNT_USED",0.4717155872376,2,2012-02-01
2012,"MAR_AMOUNT_USED",0.5249087954976,3,2012-03-01
2012,"APR_AMOUNT_USED",0.8766652210176,4,2012-04-01
2012,"MAY_AMOUNT_USED",0.93461458014,5,2012-05-01
2012,"JUN_AMOUNT_USED",0.88305326592,6,2012-06-01
2012,"JUL_AMOUNT_USED",0.863063982432,7,2012-07-01
2012,"AUG_AMOUNT_USED",0.80183169162,8,2012-08-01
2012,"SEP_AMOUNT_USED",0.6676901988888,9,2012-09-01
2012,"OCT_AMOUNT_USED",0.4282915405776,10,2012-10-01
2012,"NOV_AMOUNT_USED",0.3294706736376,11,2012-11-01
2012,"DEC_AMOUNT_USED",0.2374660171776,12,2012-12-01
2013,"JAN_AMOUNT_USED",0.4256975444724,1,2013-01-01
2013,"FEB_AMOUNT_USED",0.2690700073764,2,2013-02-01
2013,"MAR_AMOUNT_USED",0.7616845449324,3,2013-03-01
2013,"APR_AMOUNT_USED",0.7924007625708,4,2013-04-01
2013,"MAY_AMOUNT_USED",0.8746658609508,5,2013-05-01
2013,"JUN_AMOUNT_USED",0.8876254185708,6,2013-06-01
2013,"JUL_AMOUNT_USED",0.8395240527552,7,2013-07-01
2013,"AUG_AMOUNT_USED",0.7734176657232,8,2013-08-01
2013,"SEP_AMOUNT_USED",0.6557386041204,9,2013-09-01
2013,"OCT_AMOUNT_USED",0.7164113884044,10,2013-10-01
2013,"NOV_AMOUNT_USED",0.5181925092324,11,2013-11-01
2013,"DEC_AMOUNT_USED",0.5918297850564,12,2013-12-01
2014,"JAN_AMOUNT_USED",0.3288732499344,1,2014-01-01
2014,"FEB_AMOUNT_USED",0.3098588226948,2,2014-02-01
2014,"MAR_AMOUNT_USED",0.5052660212112,3,2014-03-01
2014,"APR_AMOUNT_USED",0.6004200851508,4,2014-04-01
2014,"MAY_AMOUNT_USED",0.6711905067588,5,2014-05-01
2014,"JUN_AMOUNT_USED",0.63639139137768,6,2014-06-01
2014,"JUL_AMOUNT_USED",0.6467215322808,7,2014-07-01
2014,"AUG_AMOUNT_USED",0.5164371808488,8,2014-08-01
2014,"SEP_AMOUNT_USED",0.4855924715988,9,2014-09-01
2014,"OCT_AMOUNT_USED",0.4532342453844,10,2014-10-01
2014,"NOV_AMOUNT_USED",0.3839649195972,11,2014-11-01
2014,"DEC_AMOUNT_USED",0.31298393308536,12,2014-12-01
2015,"JAN_AMOUNT_USED",0.3258005402412,1,2015-01-01
2015,"FEB_AMOUNT_USED",0.3238296118884,2,2015-02-01
2015,"MAR_AMOUNT_USED",0.4802920230168,3,2015-03-01
2015,"APR_AMOUNT_USED",0.5958621545244,4,2015-04-01
2015,"MAY_AMOUNT_USED",0.5455982515728,5,2015-05-01
2015,"JUN_AMOUNT_USED",0.5856528749256,6,2015-06-01
2015,"JUL_AMOUNT_USED",0.585717422934,7,2015-07-01
2015,"AUG_AMOUNT_USED",0.5648955897852,8,2015-08-01
2015,"SEP_AMOUNT_USED",0.4893480851592,9,2015-09-01
2015,"OCT_AMOUNT_USED",0.4683548969688,10,2015-10-01
2015,"NOV_AMOUNT_USED",0.4073876563392,11,2015-11-01
2015,"DEC_AMOUNT_USED",0.3516056202552,12,2015-12-01
2016,"JAN_AMOUNT_USED",0.29488164703704,1,2016-01-01
2016,"FEB_AMOUNT_USED",0.32532916092528,2,2016-02-01
2016,"MAR_AMOUNT_USED",0.53351646792432,3,2016-03-01
2016,"APR_AMOUNT_USED",0.5639266234038,4,2016-04-01
2016,"MAY_AMOUNT_USED",0.6401840019372,5,2016-05-01
2016,"JUN_AMOUNT_USED",0.66672085506252,6,2016-06-01
2016,"JUL_AMOUNT_USED",0.62855101998672,7,2016-07-01
2016,"AUG_AMOUNT_USED",0.57411271851252,8,2016-08-01
2016,"SEP_AMOUNT_USED",0.4858631032782,9,2016-09-01
2016,"OCT_AMOUNT_USED",0.46418870355516,10,2016-10-01
2016,"NOV_AMOUNT_USED",0.38514553141092,11,2016-11-01
2016,"DEC_AMOUNT_USED",0.31773276201048,12,2016-12-01
2017,"JAN_AMOUNT_USED",0.20988586816608,1,2017-01-01
2017,"FEB_AMOUNT_USED",0.24968500203996,2,2017-02-01
2017,"MAR_AMOUNT_USED",0.44827950794244,3,2017-03-01
2017,"APR_AMOUNT_USED",0.52828504735008,4,2017-04-01
2017,"MAY_AMOUNT_USED",0.61896779316192,5,2017-05-01
2017,"JUN_AMOUNT_USED",0.70054270767576,6,2017-06-01
2017,"JUL_AMOUNT_USED",0.67123915644348,7,2017-07-01
2017,"AUG_AMOUNT_USED",0.55926362988492,8,2017-08-01
2017,"SEP_AMOUNT_USED",0.44488104358212,9,2017-09-01
2017,"OCT_AMOUNT_USED",0.44781053021208,10,2017-10-01
2017,"NOV_AMOUNT_USED",0.37079259654504,11,2017-11-01
2017,"DEC_AMOUNT_USED",0.35244384145704,12,2017-12-01
2018,"JAN_AMOUNT_USED",0.2384124232098,1,2018-01-01
2018,"FEB_AMOUNT_USED",0.28604358521592,2,2018-02-01
2018,"MAR_AMOUNT_USED",0.45705636941988,3,2018-03-01
2018,"APR_AMOUNT_USED",0.57267328435692,4,2018-04-01
2018,"MAY_AMOUNT_USED",0.64881393004356,5,2018-05-01
2018,"JUN_AMOUNT_USED",0.645891665439,6,2018-06-01
2018,"JUL_AMOUNT_USED",0.63109734208992,7,2018-07-01
2018,"AUG_AMOUNT_USED",0.6137429581374,8,2018-08-01
2018,"SEP_AMOUNT_USED",0.5048447014476,9,2018-09-01
2018,"OCT_AMOUNT_USED",0.44437649475552,10,2018-10-01
2018,"NOV_AMOUNT_USED",0.38074630895568,11,2018-11-01
2018,"DEC_AMOUNT_USED",0.24437960720316,12,2018-12-01
2019,"JAN_AMOUNT_USED",0.27341974138056,1,2019-01-01
2019,"FEB_AMOUNT_USED",0.27746844089028,2,2019-02-01
2019,"MAR_AMOUNT_USED",0.40977941846448,3,2019-03-01
2019,"APR_AMOUNT_USED",0.52000056025164,4,2019-04-01
2019,"MAY_AMOUNT_USED",0.61472998513296,5,2019-05-01
2019,"JUN_AMOUNT_USED",0.67693750717128,6,2019-06-01
2019,"JUL_AMOUNT_USED",0.70657202699064,7,2019-07-01
2019,"AUG_AMOUNT_USED",0.6240407152566,8,2019-08-01
2019,"SEP_AMOUNT_USED",0.4844974250592,9,2019-09-01
2019,"OCT_AMOUNT_USED",0.38649856029252,10,2019-10-01
2019,"NOV_AMOUNT_USED",0.22988339253396,11,2019-11-01
2019,"DEC_AMOUNT_USED",0.20792710809348,12,2019-12-01
