"YEAR.x","MONTH.x","AF","km3_LA","DATE","YEAR.y","MONTH.y","Coachella.AF.","MWD.AF.","Total","km3_CA","native_total"
1990,1,16740,0.020648455,1990-01-01,NA,NA,NA,NA,NA,NA,NA
1990,2,13702,0.016901143,1990-02-01,NA,NA,NA,NA,NA,NA,NA
1990,3,13889,0.017131804,1990-03-01,NA,NA,NA,NA,NA,NA,NA
1990,4,15135,0.01866872,1990-04-01,NA,NA,NA,NA,NA,NA,NA
1990,5,6120,0.007548898,1990-05-01,NA,NA,NA,NA,NA,NA,NA
1990,6,11105,0.013697795,1990-06-01,NA,NA,NA,NA,NA,NA,NA
1990,7,7575,0.009343611,1990-07-01,NA,NA,NA,NA,NA,NA,NA
1990,8,3734,0.004605814,1990-08-01,NA,NA,NA,NA,NA,NA,NA
1990,9,0,0,1990-09-01,NA,NA,NA,NA,NA,NA,NA
1990,10,8548,0.010543787,1990-10-01,NA,NA,NA,NA,NA,NA,NA
1990,11,4874,0.006011982,1990-11-01,NA,NA,NA,NA,NA,NA,NA
1990,12,4766,0.005878766,1990-12-01,NA,NA,NA,NA,NA,NA,NA
1991,1,11831,0.014593302,1991-01-01,NA,NA,NA,NA,NA,NA,NA
1991,2,10766,0.013279646,1991-02-01,NA,NA,NA,NA,NA,NA,NA
1991,3,15482,0.019096737,1991-03-01,NA,NA,NA,NA,NA,NA,NA
1991,4,21203,0.026153476,1991-04-01,NA,NA,NA,NA,NA,NA,NA
1991,5,19668,0.024260085,1991-05-01,NA,NA,NA,NA,NA,NA,NA
1991,6,21878,0.026986075,1991-06-01,NA,NA,NA,NA,NA,NA,NA
1991,7,23943,0.029533212,1991-07-01,NA,NA,NA,NA,NA,NA,NA
1991,8,11664,0.014387311,1991-08-01,NA,NA,NA,NA,NA,NA,NA
1991,9,9821,0.012114007,1991-09-01,NA,NA,NA,NA,NA,NA,NA
1991,10,12614,0.015559117,1991-10-01,NA,NA,NA,NA,NA,NA,NA
1991,11,13317,0.016426253,1991-11-01,NA,NA,NA,NA,NA,NA,NA
1991,12,14258,0.017586958,1991-12-01,NA,NA,NA,NA,NA,NA,NA
1992,1,19934,0.02458819,1992-01-01,NA,NA,NA,NA,NA,NA,NA
1992,2,7176,0.008851452,1992-02-01,NA,NA,NA,NA,NA,NA,NA
1992,3,16759,0.020671891,1992-03-01,NA,NA,NA,NA,NA,NA,NA
1992,4,11381,0.014038236,1992-04-01,NA,NA,NA,NA,NA,NA,NA
1992,5,19791,0.024411803,1992-05-01,NA,NA,NA,NA,NA,NA,NA
1992,6,16214,0.019999645,1992-06-01,NA,NA,NA,NA,NA,NA,NA
1992,7,21232,0.026189247,1992-07-01,NA,NA,NA,NA,NA,NA,NA
1992,8,20189,0.024902728,1992-08-01,NA,NA,NA,NA,NA,NA,NA
1992,9,15069,0.01858731,1992-09-01,NA,NA,NA,NA,NA,NA,NA
1992,10,8638,0.0106548,1992-10-01,NA,NA,NA,NA,NA,NA,NA
1992,11,8432,0.010400703,1992-11-01,NA,NA,NA,NA,NA,NA,NA
1992,12,12071,0.014889337,1992-12-01,NA,NA,NA,NA,NA,NA,NA
1993,1,10450,0.012889866,1993-01-01,NA,NA,NA,NA,NA,NA,NA
1993,2,6795,0.008381497,1993-02-01,NA,NA,NA,NA,NA,NA,NA
1993,3,34338,0.042355236,1993-03-01,NA,NA,NA,NA,NA,NA,NA
1993,4,27692,0.034157528,1993-04-01,NA,NA,NA,NA,NA,NA,NA
1993,5,31750,0.03916299,1993-05-01,NA,NA,NA,NA,NA,NA,NA
1993,6,36426,0.044930742,1993-06-01,NA,NA,NA,NA,NA,NA,NA
1993,7,33464,0.041277175,1993-07-01,NA,NA,NA,NA,NA,NA,NA
1993,8,35754,0.044101844,1993-08-01,NA,NA,NA,NA,NA,NA,NA
1993,9,21782,0.026867661,1993-09-01,NA,NA,NA,NA,NA,NA,NA
1993,10,18244,0.022503609,1993-10-01,NA,NA,NA,NA,NA,NA,NA
1993,11,12148,0.014984315,1993-11-01,NA,NA,NA,NA,NA,NA,NA
1993,12,20436,0.025207397,1993-12-01,NA,NA,NA,NA,NA,NA,NA
1994,1,11144,0.013745901,1994-01-01,NA,NA,NA,NA,NA,NA,NA
1994,2,10893,0.013436298,1994-02-01,NA,NA,NA,NA,NA,NA,NA
1994,3,15411,0.01900916,1994-03-01,NA,NA,NA,NA,NA,NA,NA
1994,4,3695,0.004557709,1994-04-01,NA,NA,NA,NA,NA,NA,NA
1994,5,16632,0.020515239,1994-05-01,NA,NA,NA,NA,NA,NA,NA
1994,6,13730,0.01693568,1994-06-01,NA,NA,NA,NA,NA,NA,NA
1994,7,18305,0.022578851,1994-07-01,NA,NA,NA,NA,NA,NA,NA
1994,8,18206,0.022456737,1994-08-01,NA,NA,NA,NA,NA,NA,NA
1994,9,5933,0.007318237,1994-09-01,NA,NA,NA,NA,NA,NA,NA
1994,10,6279,0.007745021,1994-10-01,NA,NA,NA,NA,NA,NA,NA
1994,11,5865,0.00723436,1994-11-01,NA,NA,NA,NA,NA,NA,NA
1994,12,6448,0.007953479,1994-12-01,NA,NA,NA,NA,NA,NA,NA
1995,1,24886,0.030696383,1995-01-01,NA,NA,NA,NA,NA,NA,NA
1995,2,25972,0.032035943,1995-02-01,NA,NA,NA,NA,NA,NA,NA
1995,3,33332,0.041114355,1995-03-01,NA,NA,NA,NA,NA,NA,NA
1995,4,40834,0.050367922,1995-04-01,NA,NA,NA,NA,NA,NA,NA
1995,5,44505,0.054896027,1995-05-01,NA,NA,NA,NA,NA,NA,NA
1995,6,43467,0.053615675,1995-06-01,NA,NA,NA,NA,NA,NA,NA
1995,7,46841,0.057777437,1995-07-01,NA,NA,NA,NA,NA,NA,NA
1995,8,46472,0.057322283,1995-08-01,NA,NA,NA,NA,NA,NA,NA
1995,9,44923,0.055411622,1995-09-01,NA,NA,NA,NA,NA,NA,NA
1995,10,45141,0.055680521,1995-10-01,NA,NA,NA,NA,NA,NA,NA
1995,11,34785,0.042906602,1995-11-01,NA,NA,NA,NA,NA,NA,NA
1995,12,31465,0.038811448,1995-12-01,NA,NA,NA,NA,NA,NA,NA
1996,1,23999,0.029602287,1996-01-01,NA,NA,NA,NA,NA,NA,NA
1996,2,30637,0.037790127,1996-02-01,NA,NA,NA,NA,NA,NA,NA
1996,3,39457,0.04866942,1996-03-01,NA,NA,NA,NA,NA,NA,NA
1996,4,41731,0.051474354,1996-04-01,NA,NA,NA,NA,NA,NA,NA
1996,5,38687,0.047719641,1996-05-01,NA,NA,NA,NA,NA,NA,NA
1996,6,42446,0.052356292,1996-06-01,NA,NA,NA,NA,NA,NA,NA
1996,7,44807,0.055268538,1996-07-01,NA,NA,NA,NA,NA,NA,NA
1996,8,42981,0.053016204,1996-08-01,NA,NA,NA,NA,NA,NA,NA
1996,9,36774,0.045359994,1996-09-01,NA,NA,NA,NA,NA,NA,NA
1996,10,44026,0.05430519,1996-10-01,NA,NA,NA,NA,NA,NA,NA
1996,11,14222,0.017542553,1996-11-01,NA,NA,NA,NA,NA,NA,NA
1996,12,24349,0.030034005,1996-12-01,NA,NA,NA,NA,NA,NA,NA
1997,1,36546,0.04507876,1997-01-01,NA,NA,NA,NA,NA,NA,NA
