"YEAR","MONTH","monthly_AF","monthly_km3","DATE"
2000,1,400018,0.49341420264,2000-01-01
2000,2,415592,0.51262442016,2000-02-01
2000,3,553970,0.6833109156,2000-03-01
2000,4,1211560,1.4944350288,2000-04-01
2000,5,2684338,3.31107723624,2000-05-01
2000,6,2181926,2.69136208248,2000-06-01
2000,7,941680,1.1615434464,2000-07-01
2000,8,500615,0.6174985902,2000-08-01
2000,9,426365,0.5259127002,2000-09-01
2000,10,453185,0.5589946338,2000-10-01
2000,11,394372,0.48644997456,2000-11-01
2000,12,349325,0.430885401,2000-12-01
2001,1,317485,0.3916113978,2001-01-01
2001,2,336602,0.41519183496,2001-02-01
2001,3,655891,0.80902843068,2001-03-01
2001,4,1002709,1.23682149732,2001-04-01
2001,5,3036492,3.74545215216,2001-05-01
2001,6,2226567,2.74642586316,2001-06-01
2001,7,1028748,1.26894008304,2001-07-01
2001,8,780164,0.96231669072,2001-08-01
2001,9,426954,0.52663921992,2001-09-01
2001,10,278032,0.34294691136,2001-10-01
2001,11,335825,0.414233421,2001-11-01
2001,12,282275,0.348180567,2001-12-01
2002,1,277192,0.34191078816,2002-01-01
2002,2,253878,0.31315343544,2002-02-01
2002,3,382131,0.47135094588,2002-03-01
2002,4,621082,0.76609222536,2002-04-01
2002,5,815297,1.00565254356,2002-05-01
2002,6,1051398,1.29687840504,2002-06-01
2002,7,643816,0.79413415968,2002-07-01
2002,8,386311,0.47650689228,2002-08-01
2002,9,527176,0.65026105248,2002-09-01
2002,10,348566,0.42994918968,2002-10-01
2002,11,413645,0.5102228346,2002-11-01
2002,12,286629,0.35355113892,2002-12-01
2003,1,279302,0.34451343096,2003-01-01
2003,2,268155,0.3307638294,2003-02-01
2003,3,519435,0.6407126838,2003-03-01
2003,4,710953,0.87694630644,2003-04-01
2003,5,2263167,2.79157123116,2003-05-01
2003,6,2909816,3.58919983968,2003-06-01
2003,7,1170392,1.44365512416,2003-07-01
2003,8,593031,0.73149187788,2003-08-01
2003,9,672219,0.82916869212,2003-09-01
2003,10,378968,0.46744944864,2003-10-01
2003,11,415964,0.51308327472,2003-11-01
2003,12,337409,0.41618725332,2003-12-01
2004,1,287624,0.35477845152,2004-01-01
2004,2,317292,0.39137333616,2004-02-01
2004,3,758000,0.93497784,2004-03-01
2004,4,1125414,1.38817566072,2004-04-01
2004,5,2032809,2.50742924532,2004-05-01
2004,6,1778506,2.19375158088,2004-06-01
2004,7,1035175,1.276867659,2004-07-01
2004,8,482276,0.59487780048,2004-08-01
2004,9,470722,0.58062617256,2004-09-01
2004,10,625819,0.77193522012,2004-10-01
2004,11,570583,0.70380271884,2004-11-01
2004,12,421799,0.52028063052,2004-12-01
2005,1,667466,0.82330596168,2005-01-01
2005,2,559393,0.69000007764,2005-02-01
2005,3,714659,0.88151758332,2005-03-01
2005,4,1770932,2.18440920336,2005-04-01
2005,5,4157709,5.12845089732,2005-05-01
2005,6,4334571,5.34660663708,2005-06-01
2005,7,1930391,2.38109869068,2005-07-01
2005,8,854482,1.05398645736,2005-08-01
2005,9,491771,0.60658969308,2005-09-01
2005,10,737762,0.91001467176,2005-10-01
2005,11,506639,0.62492907372,2005-11-01
2005,12,379450,0.468043986,2005-12-01
2006,1,397643,0.49048468764,2006-01-01
2006,2,328335,0.4049946558,2006-02-01
2006,3,541551,0.66799232748,2006-03-01
2006,4,1534564,1.89285400272,2006-04-01
2006,5,3230782,3.98510498136,2006-05-01
2006,6,2493323,3.07546405404,2006-06-01
2006,7,1147226,1.41508032648,2006-07-01
2006,8,776862,0.95824373976,2006-08-01
2006,9,536600,0.661885368,2006-09-01
2006,10,1566152,1.93181716896,2006-10-01
2006,11,577702,0.71258386296,2006-11-01
2006,12,402168,0.49606618464,2006-12-01
2007,1,336446,0.41499941208,2007-01-01
2007,2,455943,0.56239657164,2007-02-01
2007,3,1011415,1.2475601742,2007-03-01
2007,4,1189653,1.46741318244,2007-04-01
2007,5,2544223,3.13824818604,2007-05-01
2007,6,2123234,2.61896667432,2007-06-01
2007,7,1051474,1.29697214952,2007-07-01
2007,8,815877,1.00636796196,2007-08-01
2007,9,479441,0.59138088468,2007-09-01
2007,10,570933,0.70423443684,2007-10-01
2007,11,412863,0.50925825324,2007-11-01
2007,12,411245,0.5072624826,2007-12-01
2008,1,370370,0.4568439876,2008-01-01
2008,2,477948,0.58953929904,2008-02-01
2008,3,743226,0.91675440648,2008-03-01
2008,4,1366049,1.68499412052,2008-04-01
2008,5,3583980,4.4207676504,2008-05-01
2008,6,4803468,5.92498170864,2008-06-01
2008,7,2220235,2.7386154678,2008-07-01
2008,8,867723,1.07031896604,2008-08-01
2008,9,482407,0.59503938636,2008-09-01
2008,10,435805,0.5375567514,2008-10-01
2008,11,430547,0.53107111356,2008-11-01
2008,12,335272,0.41355130656,2008-12-01
2009,1,385709,0.47576433732,2009-01-01
2009,2,386450,0.476678346,2009-02-01
2009,3,564187,0.69591338076,2009-03-01
2009,4,1227969,1.51467520212,2009-04-01
2009,5,4156678,5.12717917944,2009-05-01
2009,6,3465575,4.274717451,2009-06-01
2009,7,1854266,2.28720002568,2009-07-01
2009,8,638798,0.78794455704,2009-08-01
2009,9,413576,0.51013772448,2009-09-01
2009,10,373314,0.46047535272,2009-10-01
2009,11,399095,0.4922757006,2009-11-01
2009,12,257350,0.317436078,2009-12-01
2010,1,369037,0.45519975876,2010-01-01
2010,2,367245,0.4529893626,2010-02-01
2010,3,624220,0.7699628856,2010-03-01
2010,4,1326124,1.63574743152,2010-04-01
2010,5,2170941,2.67781230468,2010-05-01
2010,6,3749922,4.62545378856,2010-06-01
2010,7,1250490,1.5424544052,2010-07-01
2010,8,953329,1.17591225492,2010-08-01
2010,9,468862,0.57833189976,2010-09-01
2010,10,554876,0.68442844848,2010-10-01
2010,11,401087,0.49473279276,2010-11-01
2010,12,468938,0.57842564424,2010-12-01
2011,1,310008,0.38238866784,2011-01-01
2011,2,316664,0.39059871072,2011-02-01
2011,3,640238,0.78972076824,2011-03-01
2011,4,1249225,1.540894053,2011-04-01
2011,5,3079500,3.79850166,2011-05-01
2011,6,6686357,8.24748763236,2011-06-01
2011,7,4489031,5.53712995788,2011-07-01
2011,8,1288685,1.5895671738,2011-08-01
2011,9,706779,0.87179776092,2011-09-01
2011,10,633732,0.78169574736,2011-10-01
2011,11,526283,0.64915955484,2011-11-01
2011,12,360568,0.44475341664,2011-12-01
2012,1,381825,0.470973501,2012-01-01
2012,2,384527,0.47430636396,2012-02-01
2012,3,733543,0.90481061964,2012-03-01
2012,4,1224126,1.50993493848,2012-04-01
2012,5,1353669,1.66972363812,2012-05-01
2012,6,1074724,1.32565055952,2012-06-01
2012,7,745218,0.91921149864,2012-07-01
2012,8,634310,0.7824086988,2012-08-01
2012,9,376394,0.46427447112,2012-09-01
2012,10,341949,0.42178725252,2012-10-01
2012,11,314072,0.38740153056,2012-11-01
2012,12,226993,0.27999132564,2012-12-01
2013,1,214334,0.26437670232,2013-01-01
2013,2,288198,0.35548646904,2013-02-01
2013,3,358060,0.4416598488,2013-03-01
2013,4,544575,0.671722371,2013-04-01
2013,5,1962822,2.42110168056,2013-05-01
2013,6,1961782,2.41981886136,2013-06-01
2013,7,871802,1.07535033096,2013-07-01
2013,8,726516,0.89614295568,2013-08-01
2013,9,1147288,1.41515680224,2013-09-01
2013,10,647130,0.7982219124,2013-10-01
2013,11,521916,0.64377294768,2013-11-01
2013,12,337729,0.41658196692,2013-12-01
2014,1,308346,0.38033862408,2014-01-01
2014,2,372818,0.45986354664,2014-02-01
2014,3,560863,0.69181329324,2014-03-01
2014,4,1266593,1.56231713364,2014-04-01
2014,5,2929217,3.61313058516,2014-05-01
2014,6,3927670,4.8447023916,2014-06-01
2014,7,1523688,1.87943867424,2014-07-01
2014,8,899692,1.10975208816,2014-08-01
2014,9,789556,0.97390153488,2014-09-01
2014,10,878477,1.08358380996,2014-10-01
2014,11,465298,0.57393577704,2014-11-01
2014,12,423447,0.52231340556,2014-12-01
2015,1,408203,0.50351023644,2015-01-01
2015,2,524999,0.64757576652,2015-02-01
2015,3,701872,0.86574507456,2015-03-01
2015,4,848167,1.04619703116,2015-04-01
2015,5,2116597,2.61078006756,2015-05-01
2015,6,4262960,5.2582759008,2015-06-01
2015,7,1647911,2.03266526028,2015-07-01
2015,8,666932,0.82264728336,2015-08-01
2015,9,474142,0.58484467416,2015-09-01
2015,10,624468,0.77026878864,2015-10-01
2015,11,441760,0.5449021248,2015-11-01
2015,12,316830,0.3908034684,2015-12-01
2016,1,359564,0.44351500272,2016-01-01
2016,2,446601,0.55087340148,2016-02-01
2016,3,679511,0.83816322828,2016-03-01
2016,4,1105149,1.36317918852,2016-04-01
2016,5,2986811,3.68417163228,2016-05-01
2016,6,3948731,4.87068071388,2016-06-01
2016,7,1390403,1.71503429244,2016-07-01
2016,8,645676,0.79642843248,2016-08-01
2016,9,511051,0.63037118748,2016-09-01
2016,10,561455,0.6925435134,2016-10-01
2016,11,428376,0.52839322848,2016-11-01
2016,12,345794,0.42652998312,2016-12-01
2017,1,417937,0.51551693076,2017-01-01
2017,2,601839,0.74235636972,2017-02-01
2017,3,1313164,1.61976153072,2017-03-01
2017,4,1914592,2.36161094016,2017-04-01
2017,5,3203930,3.9519835764,2017-05-01
2017,6,4475278,5.52016590744,2017-06-01
2017,7,1860502,2.29489200696,2017-07-01
2017,8,929448,1.14645551904,2017-08-01
2017,9,402534,0.49651763832,2017-09-01
2017,10,553598,0.68285206104,2017-10-01
2017,11,421295,0.5196589566,2017-11-01
2017,12,304884,0.37606831632,2017-12-01
2018,1,296790,0.3660845292,2018-01-01
2018,2,327396,0.40383641808,2018-02-01
2018,3,451102,0.55642529496,2018-03-01
2018,4,702049,0.86596340052,2018-04-01
2018,5,2089064,2.57681866272,2018-05-01
2018,6,1653472,2.03952464256,2018-06-01
2018,7,852364,1.05137394672,2018-07-01
2018,8,475688,0.58675163424,2018-08-01
2018,9,350380,0.4321867224,2018-09-01
2018,10,484202,0.59725348296,2018-10-01
2018,11,292982,0.36138743736,2018-11-01
2018,12,254653,0.31410938244,2018-12-01
2019,1,257561,0.31769634228,2019-01-01
2019,2,297204,0.36659518992,2019-02-01
2019,3,727333,0.89715070884,2019-03-01
2019,4,1683186,2.07617626728,2019-04-01
2019,5,3115691,3.84314253468,2019-05-01
2019,6,5756635,7.1006941398,2019-06-01
2019,7,3421106,4.21986582888,2019-07-01
2019,8,1053229,1.29913690692,2019-08-01
2019,9,406311,0.50117649228,2019-09-01
2019,10,332585,0.4102369458,2019-10-01
2019,11,420956,0.51924080688,2019-11-01
2019,12,375152,0.46274248896,2019-12-01
