"YEAR","Total.AF","NM_Export_outsidesystem_AF","MONTH","Total.AF.monthly","NM_Export_outsidesystem_AF.monthly","Total.km3.monthly","NM_Export_outsidesystem_km3_monthly","Total.km3.monthly.excluding.NM.Export","DATE"
2010,4394656.613,85918,1,240944.203308691,4710.594224504,0.297199855897204,0.00581042376404119,0.291389432133163,2010-01-01
2010,4394656.613,85918,2,222534.072668258,4350.66585156,0.274491327954843,0.00536645931458223,0.269124868640261,2010-02-01
2010,4394656.613,85918,3,298160.733918294,5829.209467928,0.367775302073537,0.00719021329449983,0.360585088779038,2010-03-01
2010,4394656.613,85918,4,342056.365978149,6687.393678308,0.421919686306728,0.00824876635431935,0.413670919952408,2010-04-01
2010,4394656.613,85918,5,442385.875462086,8648.891823656,0.545674129664973,0.0106682350866432,0.53500589457833,2010-05-01
2010,4394656.613,85918,6,487272.612454588,9526.452690986,0.601041022010485,0.0117506888652774,0.589290333145208,2010-06-01
2010,4394656.613,85918,7,527986.491153348,10322.431839776,0.651260777107832,0.0127325132257269,0.638528263882105,2010-07-01
2010,4394656.613,85918,8,511023.687932528,9990.799529116,0.630337498591014,0.012323451403174,0.61801404718784,2010-08-01
2010,4394656.613,85918,9,428675.619125739,8380.848627648,0.528762802679217,0.0103376091652313,0.518425193513986,2010-09-01
2010,4394656.613,85918,10,367364.89018111,7182.189511966,0.453137244740596,0.00885908711921982,0.444278157621376,2010-10-01
2010,4394656.613,85918,11,279597.216578098,5466.28229903,0.344877574704752,0.00674254989020752,0.338135024814545,2010-11-01
2010,4394656.613,85918,12,246654.84423911,4822.240455522,0.304243817272058,0.00594813715707728,0.298295680114981,2010-12-01
2011,4439326.033,93725.38,1,243393.276982007,5138.64654341864,0.300220739291766,0.00633841773837602,0.29388232155339,2011-01-01
2011,4439326.033,93725.38,2,224796.016849955,4746.0114317196,0.277281390864082,0.00585411018079749,0.271427280683285,2011-02-01
2011,4439326.033,93725.38,3,301191.38414282,6358.91050165448,0.371513548512486,0.00784358892558077,0.363669959586905,2011-03-01
2011,4439326.033,93725.38,4,345533.192684098,7295.07802450028,0.426208282511981,0.00899833284166061,0.417209949670321,2011-04-01
2011,4439326.033,93725.38,5,446882.49993432,9434.81776520696,0.551220626018985,0.0116376590170275,0.539582967001958,2011-05-01
2011,4439326.033,93725.38,6,492225.48747919,10392.1227043773,0.607150294295831,0.0128184755133953,0.594331818782436,2011-06-01
2011,4439326.033,93725.38,7,533353.201775945,11260.4325834762,0.657880507326593,0.0138895183830662,0.643990988943527,2011-07-01
2011,4439326.033,93725.38,8,516217.98040095,10898.6648009756,0.636744554464963,0.0134432850587073,0.623301269406256,2011-08-01
2011,4439326.033,93725.38,9,433032.885906912,9142.41744859968,0.534137404108458,0.0112769890744987,0.52286041503396,2011-09-01
2011,4439326.033,93725.38,10,371098.964994649,7834.83602086906,0.457743151341599,0.00966411353502157,0.448079037806578,2011-10-01
2011,4439326.033,93725.38,11,282439.178214239,5963.0040930173,0.348383077543699,0.00735524628865498,0.341027831255044,2011-11-01
2011,4439326.033,93725.38,12,249161.963634915,5260.43808218502,0.307336298904394,0.00648864516561358,0.300847653738781,2011-12-01
