YEAR,MONTH,AZ AF,CA AF,NV AF,MX AF
2010,1,135447,183385,6654,121598
2010,2,117331,174030,5400,140231
2010,3,218000,375260,12305,214968
2010,4,278902,389511,19249,195356
2010,5,302751,481904,28041,104228
2010,6,309364,441951,28120,112423
2010,7,217618,501023,34322,122685
2010,8,229979,467149,33449,95542
2010,9,290441,430782,23184,89308
2010,10,248075,348168,23914,75999
2010,11,214994,328769,17359,109322
2010,12,217465,234907,9440,118340
2011,1,129270,218239,9479,128113
2011,2,180781,188974,8943,155921
2011,3,290691,409563,14910,195426
2011,4,315005,467821,20577,192064
2011,5,303211,484968,26055,110741
2011,6,298321,478232,25759,119568
2011,7,236817,520926,27213,125942
2011,8,198525,489191,28699,94770
2011,9,201721,404435,18540,89307
2011,10,239375,299026,20511,63478
2011,11,208992,196058,13287,109271
2011,12,178399,155228,8874,115401
2012,1,223301,228158,8924,130284
2012,2,228623,277273,10735,158442
2012,3,296991,380935,16487,186740
2012,4,313981,509205,20784,177140
2012,5,337032,536664,31053,97665
2012,6,279963,501715,29004,102476
2012,7,175751,479910,29362,102616
2012,8,204527,434609,24230,92284
2012,9,233009,385103,19085,89308
2012,10,120169,318617,20872,55370
2012,11,222460,216935,15406,86157
2012,12,153859,147594,11239,88541
2013,1,107294,216806,8965,125151
2013,2,201539,201525,8470,155921
2013,3,283383,422252,15300,200712
2013,4,295234,472366,20750,212137
2013,5,323917,506130,28076,111275
2013,6,274037,493786,28679,109209
2013,7,207476,462052,29150,111424
2013,8,208424,417254,27538,104505
2013,9,235296,355558,16179,101509
2013,10,281311,400136,19884,64711
2013,11,190713,262915,11754,98740
2013,12,170243,265009,8818,104706
2014,1,129388,263854,8130,130640
2014,2,191933,251788,8028,161705
2014,3,283591,415742,13983,259700
2014,4,318016,481151,20864,240692
2014,5,326442,523387,30194,115252
2014,6,264493,493609,28078,112038
2014,7,236956,506040,27686,118494
2014,8,193624,408488,23853,100453
2014,9,231213,383090,19525,89653
2014,10,231115,370843,21862,65519
2014,11,204658,305952,13713,88816
2014,12,163232,245790,8700,98248
2015,1,215517,258934,6146,145888
2015,2,174116,262979,7997,172217
2015,3,254943,390407,14493,218681
2015,4,302774,478782,20898,210061
2015,5,289252,434775,25157,112649
2015,6,190408,458893,25656,108640
2015,7,185820,457516,28970,107355
2015,8,176919,460369,27453,92757
2015,9,257989,398263,24943,89909
2015,10,201470,398916,20027,59037
2015,11,181140,335176,12127,92944
2015,12,174384,285746,8862,104691
2016,1,177409,177409,8453,154326
2016,2,190876,190876,10306,180079
2016,3,237616,237616,18176,220719
2016,4,293016,293016,18399,202006
2016,5,306195,306195,22101,97446
2016,6,219345,219345,28389,91620
2016,7,207719,207719,30760,102272
2016,8,173473,173473,29099,99074
2016,9,232168,232168,22563,91609
2016,10,227165,227165,23953,60789
2016,11,200109,200109,16701,96888
2016,12,147742,147742,9426,112402
2017,1,142841,154193,7512,126248
2017,2,103498,183907,7421,160026
2017,3,246837,337284,15908,202972
2017,4,306308,399845,20107,180934
2017,5,302088,417226,29320,110666
2017,6,205466,438278,29170,125896
2017,7,204389,428840,31535,130565
2017,8,181698,392519,28628,102224
2017,9,224952,326208,21610,103784
2017,10,228891,362216,23835,65461
2017,11,175819,296444,16098,99010
2017,12,186716,289555,12281,108900
2018,1,125827,177404,9958,125066
2018,2,164096,217310,10642,151998
2018,3,246672,354906,14722,194686
2018,4,305724,441875,21757,175268
2018,5,324458,488852,27848,123967
2018,6,221189,472247,28230,135561
2018,7,197694,464248,27436,132716
2018,8,132209,464815,28870,104382
2018,9,271567,388710,24739,94015
2018,10,240256,339339,23071,67933
2018,11,234037,286089,15902,97173
2018,12,168531,169730,10928,104651
2019,1,110863,202959,8580,122147
2019,2,194265,188497,5921,142827
2019,3,173762,309787,13751,185434
2019,4,271543,390512,15438,170264
2019,5,292360,456030,18325,127516
2019,6,236676,441070,27749,138304
2019,7,238406,461068,33265,145562
2019,8,229493,439355,34950,111003
2019,9,251374,358511,30806,102676
2019,10,243165,296792,24990,67601
2019,11,170462,166174,13259,117519
2019,12,79338,129931,6962,108824
