YEAR,MONTH,ac-ft/month
2000,1,400018
2000,2,415592
2000,3,553970
2000,4,1211560
2000,5,2684338
2000,6,2181926
2000,7,941680
2000,8,500615
2000,9,426365
2000,10,453185
2000,11,394372
2000,12,349325
2001,1,317485
2001,2,336602
2001,3,655891
2001,4,1002709
2001,5,3036492
2001,6,2226567
2001,7,1028748
2001,8,780164
2001,9,426954
2001,10,278032
2001,11,335825
2001,12,282275
2002,1,277192
2002,2,253878
2002,3,382131
2002,4,621082
2002,5,815297
2002,6,1051398
2002,7,643816
2002,8,386311
2002,9,527176
2002,10,348566
2002,11,413645
2002,12,286629
2003,1,279302
2003,2,268155
2003,3,519435
2003,4,710953
2003,5,2263167
2003,6,2909816
2003,7,1170392
2003,8,593031
2003,9,672219
2003,10,378968
2003,11,415964
2003,12,337409
2004,1,287624
2004,2,317292
2004,3,758000
2004,4,1125414
2004,5,2032809
2004,6,1778506
2004,7,1035175
2004,8,482276
2004,9,470722
2004,10,625819
2004,11,570583
2004,12,421799
2005,1,667466
2005,2,559393
2005,3,714659
2005,4,1770932
2005,5,4157709
2005,6,4334571
2005,7,1930391
2005,8,854482
2005,9,491771
2005,10,737762
2005,11,506639
2005,12,379450
2006,1,397643
2006,2,328335
2006,3,541551
2006,4,1534564
2006,5,3230782
2006,6,2493323
2006,7,1147226
2006,8,776862
2006,9,536600
2006,10,1566152
2006,11,577702
2006,12,402168
2007,1,336446
2007,2,455943
2007,3,1011415
2007,4,1189653
2007,5,2544223
2007,6,2123234
2007,7,1051474
2007,8,815877
2007,9,479441
2007,10,570933
2007,11,412863
2007,12,411245
2008,1,370370
2008,2,477948
2008,3,743226
2008,4,1366049
2008,5,3583980
2008,6,4803468
2008,7,2220235
2008,8,867723
2008,9,482407
2008,10,435805
2008,11,430547
2008,12,335272
2009,1,385709
2009,2,386450
2009,3,564187
2009,4,1227969
2009,5,4156678
2009,6,3465575
2009,7,1854266
2009,8,638798
2009,9,413576
2009,10,373314
2009,11,399095
2009,12,257350
2010,1,369037
2010,2,367245
2010,3,624220
2010,4,1326124
2010,5,2170941
2010,6,3749922
2010,7,1250490
2010,8,953329
2010,9,468862
2010,10,554876
2010,11,401087
2010,12,468938
2011,1,310008
2011,2,316664
2011,3,640238
2011,4,1249225
2011,5,3079500
2011,6,6686357
2011,7,4489031
2011,8,1288685
2011,9,706779
2011,10,633732
2011,11,526283
2011,12,360568
2012,1,381825
2012,2,384527
2012,3,733543
2012,4,1224126
2012,5,1353669
2012,6,1074724
2012,7,745218
2012,8,634310
2012,9,376394
2012,10,341949
2012,11,314072
2012,12,226993
2013,1,214334
2013,2,288198
2013,3,358060
2013,4,544575
2013,5,1962822
2013,6,1961782
2013,7,871802
2013,8,726516
2013,9,1147288
2013,10,647130
2013,11,521916
2013,12,337729
2014,1,308346
2014,2,372818
2014,3,560863
2014,4,1266593
2014,5,2929217
2014,6,3927670
2014,7,1523688
2014,8,899692
2014,9,789556
2014,10,878477
2014,11,465298
2014,12,423447
2015,1,408203
2015,2,524999
2015,3,701872
2015,4,848167
2015,5,2116597
2015,6,4262960
2015,7,1647911
2015,8,666932
2015,9,474142
2015,10,624468
2015,11,441760
2015,12,316830
2016,1,359564
2016,2,446601
2016,3,679511
2016,4,1105149
2016,5,2986811
2016,6,3948731
2016,7,1390403
2016,8,645676
2016,9,511051
2016,10,561455
2016,11,428376
2016,12,345794
2017,1,417937
2017,2,601839
2017,3,1313164
2017,4,1914592
2017,5,3203930
2017,6,4475278
2017,7,1860502
2017,8,929448
2017,9,402534
2017,10,553598
2017,11,421295
2017,12,304884
2018,1,296790
2018,2,327396
2018,3,451102
2018,4,702049
2018,5,2089064
2018,6,1653472
2018,7,852364
2018,8,475688
2018,9,350380
2018,10,484202
2018,11,292982
2018,12,254653
2019,1,257561
2019,2,297204
2019,3,727333
2019,4,1683186
2019,5,3115691
2019,6,5756635
2019,7,3421106
2019,8,1053229
2019,9,406311
2019,10,332585
2019,11,420956
2019,12,375152
