Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	7	2000	M	M
Dec	7	1930	M	M
Dec	7	1900	M	M
Dec	7	1830	M	M
Dec	7	1800	M	M
Dec	7	1730	M	M
Dec	7	1700	M	M
Dec	7	1630	M	M
Dec	7	1600	M	M
Dec	7	1530	M	M
Dec	7	1500	M	M
Dec	7	1430	M	M
Dec	7	1400	M	M
Dec	7	1330	M	M
Dec	7	1300	M	M
Dec	7	1230	M	M
Dec	7	1200	M	M
Dec	7	1130	M	M
Dec	7	1100	M	M
Dec	7	1030	M	M
Dec	7	1000	M	M
Dec	7	930	M	M
Dec	7	900	M	M
Dec	7	830	M	M
Dec	7	800	M	M
Dec	7	730	M	M
Dec	7	700	M	M
Dec	7	630	M	M
Dec	7	600	M	M
Dec	7	530	M	M
Dec	7	500	M	M
Dec	7	430	M	M
Dec	7	400	M	M
Dec	7	330	M	M
Dec	7	300	M	M
Dec	7	230	M	M
Dec	7	200	M	M
Dec	7	130	M	M
Dec	7	100	M	M
Dec	7	30	M	M
Dec	7	0	M	M
Dec	6	2330	M	M
Dec	6	2300	M	M
Dec	6	2230	M	M
Dec	6	2200	M	M
Dec	6	2130	M	M
Dec	6	2100	M	M
Dec	6	2030	M	M
Dec	6	2000	M	M
Dec	6	1930	M	M
Dec	6	1900	M	M
Dec	6	1830	M	M
Dec	6	1800	M	M
Dec	6	1730	M	M
Dec	6	1700	M	M
Dec	6	1630	M	M
Dec	6	1600	M	M
Dec	6	1530	M	M
Dec	6	1500	M	M
Dec	6	1430	M	M
Dec	6	1400	M	M
Dec	6	1330	M	M
Dec	6	1300	M	M
Dec	6	1230	M	M
Dec	6	1200	M	M
Dec	6	1130	M	M
Dec	6	1100	M	M
Dec	6	1030	M	M
Dec	6	1000	M	M
Dec	6	930	M	M
Dec	6	900	M	M
Dec	6	830	M	M
Dec	6	800	M	M
Dec	6	730	M	M
Dec	6	700	M	M
Dec	6	630	M	M
Dec	6	600	M	M
Dec	6	530	M	M
Dec	6	500	M	M
Dec	6	430	M	M
Dec	6	400	M	M
Dec	6	330	M	M
Dec	6	300	M	M
Dec	6	230	M	M
Dec	6	200	M	M
Dec	6	130	M	M
Dec	6	100	M	M
Dec	6	30	M	M
Dec	6	0	M	M
Dec	5	2330	M	M
Dec	5	2300	M	M
Dec	5	2230	M	M
Dec	5	2200	M	M
Dec	5	2130	M	M
Dec	5	2100	M	M
Dec	5	2030	M	M
Dec	5	2000	M	M
Dec	5	1930	M	M
Dec	5	1900	M	M
Dec	5	1830	M	M
Dec	5	1800	M	M
Dec	5	1730	M	M
Dec	5	1700	M	M
Dec	5	1630	M	M
Dec	5	1600	M	M
Dec	5	1530	M	M
Dec	5	1500	M	M
Dec	5	1430	M	M
Dec	5	1400	M	M
Dec	5	1330	M	M
Dec	5	1300	M	M
Dec	5	1230	M	M
Dec	5	1200	M	M
Dec	5	1130	M	M
Dec	5	1100	M	M
Dec	5	1030	M	M
Dec	5	1000	M	M
Dec	5	930	M	M
Dec	5	900	M	M
Dec	5	830	M	M
Dec	5	800	M	M
Dec	5	730	M	M
Dec	5	700	M	M
Dec	5	630	M	M
Dec	5	600	M	M
Dec	5	530	M	M
Dec	5	500	M	M
Dec	5	430	M	M
Dec	5	400	M	M
Dec	5	330	M	M
Dec	5	300	M	M
Dec	5	230	M	M
Dec	5	200	M	M
Dec	5	130	M	M
Dec	5	100	M	M
Dec	5	30	M	M
Dec	5	0	M	M
Dec	4	2330	M	M
Dec	4	2300	M	M
Dec	4	2230	M	M
Dec	4	2200	M	M
Dec	4	2130	M	M
Dec	4	2100	M	M
Dec	4	2030	M	M
Dec	4	2000	M	M
Dec	4	1930	M	M
Dec	4	1900	M	M
Dec	4	1830	M	M
Dec	4	1800	M	M
Dec	4	1730	M	M
Dec	4	1700	M	M
Dec	4	1630	M	M
Dec	4	1600	M	M
Dec	4	1530	M	M
Dec	4	1500	M	M
Dec	4	1430	M	M
Dec	4	1400	M	M
Dec	4	1330	M	M
Dec	4	1300	M	M
Dec	4	1230	M	M
Dec	4	1200	M	M
Dec	4	1130	M	M
Dec	4	1100	M	M
Dec	4	1030	M	M
Dec	4	1000	M	M
Dec	4	930	M	M
Dec	4	900	M	M
Dec	4	830	M	M
Dec	4	800	M	M
Dec	4	730	M	M
Dec	4	700	M	M
Dec	4	630	M	M
Dec	4	600	M	M
Dec	4	530	M	M
Dec	4	500	M	M
Dec	4	430	M	M
Dec	4	400	M	M
Dec	4	330	M	M
Dec	4	300	M	M
Dec	4	230	M	M
Dec	4	200	M	M
Dec	4	130	M	M
Dec	4	100	M	M
Dec	4	30	M	M
Dec	4	0	M	M
Dec	3	2330	M	M
Dec	3	2300	M	M
Dec	3	2230	M	M
Dec	3	2200	M	M
Dec	3	2130	M	M
Dec	3	2100	M	M
Dec	3	2030	M	M
Dec	3	2000	M	M
Dec	3	1930	M	M
Dec	3	1900	M	M
Dec	3	1830	M	M
Dec	3	1800	M	M
Dec	3	1730	M	M
Dec	3	1700	M	M
Dec	3	1630	M	M
Dec	3	1600	M	M
Dec	3	1530	M	M
Dec	3	1500	M	M
Dec	3	1430	M	M
Dec	3	1400	M	M
Dec	3	1330	M	M
Dec	3	1300	M	M
Dec	3	1230	M	M
Dec	3	1200	M	M
Dec	3	1130	M	M
Dec	3	1100	M	M
Dec	3	1030	M	M
Dec	3	1000	M	M
Dec	3	930	M	M
Dec	3	900	M	M
Dec	3	830	M	M
Dec	3	800	M	M
Dec	3	730	M	M
Dec	3	700	M	M
Dec	3	630	M	M
Dec	3	600	M	M
Dec	3	530	M	M
Dec	3	500	M	M
Dec	3	430	M	M
Dec	3	400	M	M
Dec	3	330	M	M
Dec	3	300	M	M
Dec	3	230	M	M
Dec	3	200	M	M
Dec	3	130	M	M
Dec	3	100	M	M
Dec	3	30	M	M
Dec	3	0	M	M
Dec	2	2330	M	M
Dec	2	2300	M	M
Dec	2	2230	M	M
Dec	2	2200	M	M
Dec	2	2130	M	M
Dec	2	2100	M	M
Dec	2	2030	M	M
Dec	2	2000	M	M
Dec	2	1930	M	M
Dec	2	1900	M	M
Dec	2	1830	M	M
Dec	2	1800	M	M
Dec	2	1730	M	M
Dec	2	1700	M	M
Dec	2	1630	M	M
Dec	2	1600	M	M
Dec	2	1530	M	M
Dec	2	1500	M	M
Dec	2	1430	M	M
Dec	2	1400	M	M
Dec	2	1330	M	M
Dec	2	1300	M	M
Dec	2	1230	M	M
Dec	2	1200	M	M
Dec	2	1130	M	M
Dec	2	1100	M	M
Dec	2	1030	M	M
Dec	2	1000	M	M
Dec	2	930	M	M
Dec	2	900	M	M
Dec	2	830	M	M
Dec	2	800	M	M
Dec	2	730	M	M
Dec	2	700	M	M
Dec	2	630	M	M
Dec	2	600	M	M
Dec	2	530	M	M
Dec	2	500	M	M
Dec	2	430	M	M
Dec	2	400	M	M
Dec	2	330	M	M
Dec	2	300	M	M
Dec	2	230	M	M
Dec	2	200	M	M
Dec	2	130	M	M
Dec	2	100	M	M
Dec	2	30	M	M
Dec	2	0	M	M
Dec	1	2330	M	M
Dec	1	2300	M	M
Dec	1	2230	M	M
Dec	1	2200	M	M
Dec	1	2130	M	M
Dec	1	2100	M	M
Dec	1	2030	M	M
Dec	1	2000	M	M
Dec	1	1930	M	M
Dec	1	1900	M	M
Dec	1	1830	M	M
Dec	1	1800	M	M
Dec	1	1730	M	M
Dec	1	1700	M	M
Dec	1	1630	M	M
Dec	1	1600	M	M
Dec	1	1530	M	M
Dec	1	1500	M	M
Dec	1	1430	M	M
Dec	1	1400	M	M
Dec	1	1330	M	M
Dec	1	1300	M	M
Dec	1	1230	M	M
Dec	1	1200	M	M
Dec	1	1130	M	M
Dec	1	1100	M	M
Dec	1	1030	M	M
Dec	1	1000	M	M
Dec	1	930	M	M
Dec	1	900	M	M
Dec	1	830	M	M
Dec	1	800	M	M
Dec	1	730	M	M
Dec	1	700	M	M
Dec	1	630	M	M
Dec	1	600	M	M
Dec	1	530	M	M
Dec	1	500	M	M
Dec	1	430	M	M
Dec	1	400	M	M
Dec	1	330	M	M
Dec	1	300	M	M
Dec	1	230	M	M
Dec	1	200	M	M
Dec	1	130	M	M
Dec	1	100	M	M
Dec	1	30	M	M
Dec	1	0	M	M
Nov	30	2330	M	M
Nov	30	2300	M	M
Nov	30	2230	M	M
Nov	30	2200	M	M
Nov	30	2130	M	M
Nov	30	2100	M	M
Nov	30	2030	M	M
Nov	30	2000	M	M
Nov	30	1930	M	M
Nov	30	1900	M	M
Nov	30	1830	M	M
Nov	30	1800	M	M
Nov	30	1730	M	M
Nov	30	1700	M	M
Nov	30	1630	M	M
Nov	30	1600	M	M
Nov	30	1530	M	M
Nov	30	1500	M	M
Nov	30	1430	M	M
Nov	30	1400	M	M
Nov	30	1330	M	M
Nov	30	1300	M	M
Nov	30	1230	M	M
Nov	30	1200	M	M
Nov	30	1130	M	M
Nov	30	1100	M	M
Nov	30	1030	M	M
Nov	30	1000	M	M
Nov	30	930	M	M
Nov	30	900	M	M
