YEAR,MONTH,AF/month
2010,1,2869.102749
2010,2,3016.716229
2010,3,4064.280914
2010,4,4249.917907
2010,5,5902.759237
2010,6,5895.209774
2010,7,4824.597746
2010,8,2703.649828
2010,9,47.50637561
2010,10,0
2010,11,3321.18054
2010,12,4385.838926
2011,1,2869.102749
2011,2,3016.716229
2011,3,4064.280914
2011,4,4249.917907
2011,5,5902.759237
2011,6,5895.209774
2011,7,4824.597746
2011,8,2703.649828
2011,9,47.50637561
2011,10,0
2011,11,3321.18054
2011,12,4385.838926
2012,1,4486.22223
2012,2,3488.588343
2012,3,3586.056204
2012,4,3605.015789
2012,5,4043.114798
2012,6,6719.0894
2012,7,7443.360002
2012,8,4693.224817
2012,9,0
2012,10,0
2012,11,2219.017281
2012,12,2925.042427
2013,1,2936.375828
2013,2,3386.744248
2013,3,4225.995931
2013,4,5175.104572
2013,5,7506.262065
2013,6,6211.483163
2013,7,0
2013,8,0
2013,9,1517.395988
2013,10,5126.834044
2013,11,2344.87235
2013,12,1497.684525
2014,1,2970.689057
2014,2,3549.41062
2014,3,4800.264538
2014,4,5682.097032
2014,5,5785.325195
2014,6,6870.944082
2014,7,5860.22139
2014,8,6111.247165
2014,9,4489.659384
2014,10,2498.264544
2014,11,3592.126463
2014,12,4393.60628
2015,1,999.3248448
2015,2,286.0939509
2015,3,4395.683917
2015,4,5458.574625
2015,5,6016.393996
2015,6,7024.173625
2015,7,7027.454266
2015,8,7183.258606
2015,9,4765.512458
2015,10,0
2015,11,3826.877929
2015,12,1718.56462
2016,1,4410.150652
2016,2,4159.057361
2016,3,5201.272974
2016,4,5717.370823
2016,5,6111.710567
2016,6,6909.820746
2016,7,7696.603662
2016,8,7423.604654
2016,9,5798.920365
2016,10,0
2016,11,3423.316178
2016,12,4421.720357
2017,1,3578.31647
2017,2,3310.421021
2017,3,4849.18874
2017,4,5707.243495
2017,5,6365.958674
2017,6,7014.172122
2017,7,7586.111444
2017,8,6988.924386
2017,9,6312.762582
2017,10,3860.307318
2017,11,5640.651709
2017,12,4602.275273
2018,1,3680.989164
2018,2,1729.637165
2018,3,4513.86063
2018,4,5281.62872
2018,5,6421.051339
2018,6,7052.879997
2018,7,3892.60122
2018,8,3882.50458
2018,9,2545.316725
2018,10,2583.242034
2018,11,3293.051118
2018,12,3523.315871
2019,1,4225.035369
2019,2,3918.711313
2019,3,4223.580716
2019,4,4696.25074
2019,5,5787.718927
2019,6,5377.359591
2019,7,5986.478482
2019,8,6543.849796
2019,9,7307.548542
2019,10,5812.693532
2019,11,4447.382393
2019,12,4393.038536
