"YEAR.x","MONTH.x","AF.month","DATE","km3.month","YEAR.y","MONTH.y","total_diversion_cf","groups","total_diversion_km3","MONTH_NUM","total_water_km3"
2010,1,2869.102749,2010-01-01,0.00353898085883652,2010,"Jan",0,"drop",0,1,0.00353898085883652
2010,2,3016.716229,2010-02-01,0.00372105913414692,2010,"Feb",10436400,"drop",0.00029552545152,2,0.00401658458566692
2010,3,4064.280914,2010-03-01,0.00501320922180072,2010,"Mar",1228798800,"drop",0.03479564985984,3,0.0398088590816407
2010,4,4249.917907,2010-04-01,0.00524218873992636,2010,"Apr",1893308400,"drop",0.05361243530112,4,0.0588546240410464
2010,5,5902.759237,2010-05-01,0.00728093546365476,2010,"May",2215486800,"drop",0.06273549661824,5,0.0700164320818948
2010,6,5895.209774,2010-06-01,0.00727162335203352,2010,"June",2368171800,"drop",0.06705904722624,6,0.0743306705782735
2010,7,4824.597746,2010-07-01,0.00595104482773608,2010,"July",2294875800,"drop",0.06498353905344,7,0.0709345838811761
2010,8,2703.649828,2010-08-01,0.00333489798984144,2010,"Aug",2069892000,"drop",0.0586127177856,8,0.0619476157754414
2010,9,47.50637561,2010-09-01,5.85981641874228e-05,2010,"Sep",2047489200,"drop",0.05797834217856,9,0.0580369403427474
2010,10,0,2010-10-01,0,2010,"Oct",1816365600,"drop",0.05143366142208,10,0.05143366142208
2010,11,3321.18054,2010-11-01,0.0040966097724792,2010,"Nov",406827000,"drop",0.0115200387936,11,0.0156166485660792
2010,12,4385.838926,2010-12-01,0.00540984459844248,2010,"Dec",47133000,"drop",0.0013346557344,12,0.00674450033284248
2011,1,2869.102749,2011-01-01,0.00353898085883652,2011,"Jan",692917200,"drop",0.01962119776896,1,0.0231601786277965
2011,2,3016.716229,2011-02-01,0.00372105913414692,2011,"Feb",163346400,"drop",0.00462544733952,2,0.00834650647366692
2011,3,4064.280914,2011-03-01,0.00501320922180072,2011,"Mar",1335198600,"drop",0.03780855171648,3,0.0428217609382807
2011,4,4249.917907,2011-04-01,0.00524218873992636,2011,"Apr",1908331200,"drop",0.05403783292416,4,0.0592800216640864
2011,5,5902.759237,2011-05-01,0.00728093546365476,2011,"May",2346030000,"drop",0.066432062304,5,0.0737129977676548
2011,6,5895.209774,2011-06-01,0.00727162335203352,2011,"June",2022942600,"drop",0.05728326101568,6,0.0645548843677135
2011,7,4824.597746,2011-07-01,0.00595104482773608,2011,"July",2118421800,"drop",0.05998692642624,7,0.0659379712539761
2011,8,2703.649828,2011-08-01,0.00333489798984144,2011,"Aug",2061705600,"drop",0.05838090513408,8,0.0617158031239214
