YEAR.x,MONTH.x,DATE,DRG,Scaled_DRG,QRGUP,QRCTRI,QRCUP,QRGLOW,QCORC,QCORC_scaled,QCORC_reported
2010,1,1/1/10,0.003538981,0.004926917,0.034805172,0.004491937,0.003515748,0.046409343,0,0,0.005810424
2010,2,2/1/10,0.004016585,0.00559183,0.037520886,0.006657168,0.003625845,0.045469853,0,0,0.005366459
2010,3,3/1/10,0.039808859,0.055421306,0.052383913,0.009571055,0.004220366,0.038482395,0,0.027728367,0.007190213
2010,4,4/1/10,0.058854624,0.081936539,0.106353215,0.01695486,0.083159553,0.113399391,0,0,0.008248766
2010,5,5/1/10,0.070016432,0.097475843,0.114133368,0.054130777,0.134611316,0.146868726,0,0,0.010668235
2010,6,6/1/10,0.074330671,0.103482062,0.091673682,0.009622434,0.028184703,0.042629363,0,0.016630607,0.011750689
2010,7,7/1/10,0.070934584,0.098754081,0.027509444,-0.011369298,0.003831358,0.008815059,0.059778139,0.087597636,0.012732513
2010,8,8/1/10,0.061947616,0.086242556,0.030430671,-0.018987976,0.005358029,0.019758651,0.064905542,0.089200482,0.012323451
2010,9,9/1/10,0.05803694,0.080798172,0.018665026,-0.013270298,0.002847829,0.00532867,0.055123053,0.077884284,0.010337609
2010,10,10/1/10,0.051433661,0.071605184,0.019832049,-0.000256892,0.002928567,0.002950586,0.031880524,0.052052047,0.008859087
2010,11,11/1/10,0.015616649,0.021741268,0.035766682,-0.002554239,0.003625845,0.032294972,0,0,0.00674255
2010,12,12/1/10,0.0067445,0.009389594,0.040368715,-0.000381668,0.003082702,0.052523368,0,0,0.005948137
2011,1,1/1/11,0.023160179,0.032243259,0.033909721,0.004124949,0.002679015,0.049704898,0,0,0.006338418
2011,2,2/1/11,0.008346506,0.011619883,0.036610755,0.005086458,0.002994625,0.046446042,0,0,0.00585411
2011,3,3/1/11,0.042821761,0.059615823,0.042387151,0.006011269,0.009226086,0.022723917,0.007921172,0.024715234,0.007843589
2011,4,4/1/11,0.059280022,0.082528771,0.024294627,0.012543661,0.04241651,0.00565896,-0.014315816,0.008932933,0.008998333
2011,5,5/1/11,0.073712998,0.102622147,0.033880362,0.01318222,0.103637502,0.010730738,-0.066256347,-0.037347198,0.011637659
2011,6,6/1/11,0.064554884,0.089872357,0.059158517,0.006547072,0.048457138,0.019421022,-0.03018682,-0.004869348,0.012818476
2011,7,7/1/11,0.065937971,0.09179787,0.041425642,-0.000381668,0.005842454,0.000990868,0.020042412,0.045902311,0.013889518
2011,8,8/1/11,0.061715803,0.08591983,0.02420655,-0.020866956,0.002737733,0.008543488,0.064181965,0.088385992,0.013443285
2011,9,9/1/11,0.050725157,0.070618815,0.02010362,-0.022892731,0.003728601,0.00721499,0.057000658,0.076894316,0.011276989
2011,10,10/1/11,0.036459675,0.050758622,0.027825054,1.47E-05,0.006356238,0.005130497,0.0073942,0.021693147,0.009664114
2011,11,11/1/11,0.037860061,0.052708218,0.04931589,-5.87E-05,0.00564428,0.046915787,0,0.044722553,0.007355246
2011,12,12/1/11,0.009711376,0.013520034,0.035546489,0.002781771,0.004844246,0.052640805,0,0,0.006488645
2012,1,1/1/12,0.005673171,0.007898105,0.035986875,0.007765473,0.004866265,0.041675194,0,0,0.003126643
2012,2,2/1/12,0.004393015,0.006115891,0.038937461,0.008059064,0.005086458,0.046012996,0,0,0.002887742
2012,3,3/1/12,0.038415942,0.053482108,0.061808173,0.010283013,0.020081601,0.040471472,0,0,0.003869121
2012,4,4/1/12,0.059207102,0.082427253,0.060237463,0.015552965,0.08859098,0.062446733,0,-0.019507422,0.004438738
