5s,15s,5s,3n,4s,2s,12n
USGS,8284100,60,99714,2000,1,47.5
USGS,8284100,60,99714,2000,2,50.4
USGS,8284100,60,99714,2000,3,71.7
USGS,8284100,60,99714,2000,4,682.9
USGS,8284100,60,99714,2000,5,399.3
USGS,8284100,60,99714,2000,6,42.4
USGS,8284100,60,99714,2000,7,13.1
USGS,8284100,60,99714,2000,8,11.5
USGS,8284100,60,99714,2000,9,11.5
USGS,8284100,60,99714,2000,10,43.3
USGS,8284100,60,99714,2000,11,48.6
USGS,8284100,60,99714,2000,12,40.1
USGS,8284100,60,99714,2001,1,39.2
USGS,8284100,60,99714,2001,2,48.7
USGS,8284100,60,99714,2001,3,142
USGS,8284100,60,99714,2001,4,870.8
USGS,8284100,60,99714,2001,5,2014
USGS,8284100,60,99714,2001,6,324.3
USGS,8284100,60,99714,2001,7,56.4
USGS,8284100,60,99714,2001,8,57.6
USGS,8284100,60,99714,2001,9,23.4
USGS,8284100,60,99714,2001,10,26.3
USGS,8284100,60,99714,2001,11,42
USGS,8284100,60,99714,2001,12,58.8
USGS,8284100,60,99714,2002,1,57.1
USGS,8284100,60,99714,2002,2,54.4
USGS,8284100,60,99714,2002,3,64.8
USGS,8284100,60,99714,2002,4,190.4
USGS,8284100,60,99714,2002,5,24.9
USGS,8284100,60,99714,2002,6,5.56
USGS,8284100,60,99714,2002,7,4.9
USGS,8284100,60,99714,2002,8,4.17
USGS,8284100,60,99714,2002,9,24.1
USGS,8284100,60,99714,2002,10,34.4
USGS,8284100,60,99714,2002,11,60.3
USGS,8284100,60,99714,2002,12,32.8
USGS,8284100,60,99714,2003,1,39.4
USGS,8284100,60,99714,2003,2,44.8
USGS,8284100,60,99714,2003,3,149
USGS,8284100,60,99714,2003,4,643.2
USGS,8284100,60,99714,2003,5,1279
USGS,8284100,60,99714,2003,6,269.9
USGS,8284100,60,99714,2003,7,29.2
USGS,8284100,60,99714,2003,8,37.1
USGS,8284100,60,99714,2003,9,124.6
USGS,8284100,60,99714,2003,10,52.5
USGS,8284100,60,99714,2003,11,64.4
USGS,8284100,60,99714,2003,12,65.1
USGS,8284100,60,99714,2004,1,80.9
USGS,8284100,60,99714,2004,2,83
USGS,8284100,60,99714,2004,3,373.9
USGS,8284100,60,99714,2004,4,786.1
USGS,8284100,60,99714,2004,5,1047
USGS,8284100,60,99714,2004,6,150.2
USGS,8284100,60,99714,2004,7,33.7
USGS,8284100,60,99714,2004,8,27.6
USGS,8284100,60,99714,2004,9,42.1
USGS,8284100,60,99714,2004,10,77.3
USGS,8284100,60,99714,2004,11,74.3
USGS,8284100,60,99714,2004,12,46.7
USGS,8284100,60,99714,2005,1,52.2
USGS,8284100,60,99714,2005,2,50.1
USGS,8284100,60,99714,2005,3,92.9
USGS,8284100,60,99714,2005,4,1216
USGS,8284100,60,99714,2005,5,3331
USGS,8284100,60,99714,2005,6,863.8
USGS,8284100,60,99714,2005,7,124
USGS,8284100,60,99714,2005,8,74.8
USGS,8284100,60,99714,2005,9,49.5
USGS,8284100,60,99714,2005,10,101.3
USGS,8284100,60,99714,2005,11,50.6
USGS,8284100,60,99714,2005,12,54
USGS,8284100,60,99714,2006,1,50.3
USGS,8284100,60,99714,2006,2,46.5
USGS,8284100,60,99714,2006,3,79.7
USGS,8284100,60,99714,2006,4,714.2
USGS,8284100,60,99714,2006,5,464.1
USGS,8284100,60,99714,2006,6,51.4
USGS,8284100,60,99714,2006,7,38.6
USGS,8284100,60,99714,2006,8,116.5
USGS,8284100,60,99714,2006,9,133.7
USGS,8284100,60,99714,2006,10,256.1
USGS,8284100,60,99714,2006,11,118.9
USGS,8284100,60,99714,2006,12,84.4
USGS,8284100,60,99714,2007,1,86.8
USGS,8284100,60,99714,2007,2,88.2
USGS,8284100,60,99714,2007,3,475.4
USGS,8284100,60,99714,2007,4,902.8
USGS,8284100,60,99714,2007,5,1494
USGS,8284100,60,99714,2007,6,338.8
USGS,8284100,60,99714,2007,7,47.9
USGS,8284100,60,99714,2007,8,49.8
USGS,8284100,60,99714,2007,9,60.3
USGS,8284100,60,99714,2007,10,58.7
USGS,8284100,60,99714,2007,11,40.6
USGS,8284100,60,99714,2007,12,53.6
USGS,8284100,60,99714,2008,1,45.3
USGS,8284100,60,99714,2008,2,73.3
USGS,8284100,60,99714,2008,3,331.9
USGS,8284100,60,99714,2008,4,1132
USGS,8284100,60,99714,2008,5,2554
USGS,8284100,60,99714,2008,6,1043
USGS,8284100,60,99714,2008,7,225.9
USGS,8284100,60,99714,2008,8,97.9
USGS,8284100,60,99714,2008,9,76.1
USGS,8284100,60,99714,2008,10,61.3
USGS,8284100,60,99714,2008,11,61.1
USGS,8284100,60,99714,2008,12,53.5
USGS,8284100,60,99714,2009,1,41.7
USGS,8284100,60,99714,2009,2,50.6
USGS,8284100,60,99714,2009,3,224.8
USGS,8284100,60,99714,2009,4,853.9
USGS,8284100,60,99714,2009,5,2376
USGS,8284100,60,99714,2009,6,437.3
USGS,8284100,60,99714,2009,7,116
USGS,8284100,60,99714,2009,8,43.7
USGS,8284100,60,99714,2009,9,41.7
USGS,8284100,60,99714,2009,10,42.3
USGS,8284100,60,99714,2009,11,56
USGS,8284100,60,99714,2009,12,47.8
USGS,8284100,60,99714,2010,1,47.9
USGS,8284100,60,99714,2010,2,49.4
USGS,8284100,60,99714,2010,3,57.5
USGS,8284100,60,99714,2010,4,1133
USGS,8284100,60,99714,2010,5,1834
USGS,8284100,60,99714,2010,6,384
USGS,8284100,60,99714,2010,7,52.2
USGS,8284100,60,99714,2010,8,73
USGS,8284100,60,99714,2010,9,38.8
USGS,8284100,60,99714,2010,10,39.9
USGS,8284100,60,99714,2010,11,49.4
USGS,8284100,60,99714,2010,12,42
USGS,8284100,60,99714,2011,1,36.5
USGS,8284100,60,99714,2011,2,40.8
USGS,8284100,60,99714,2011,3,125.7
USGS,8284100,60,99714,2011,4,577.9
USGS,8284100,60,99714,2011,5,1412
USGS,8284100,60,99714,2011,6,660.2
USGS,8284100,60,99714,2011,7,79.6
USGS,8284100,60,99714,2011,8,37.3
USGS,8284100,60,99714,2011,9,50.8
USGS,8284100,60,99714,2011,10,86.6
USGS,8284100,60,99714,2011,11,76.9
USGS,8284100,60,99714,2011,12,66
USGS,8284100,60,99714,2012,1,66.3
USGS,8284100,60,99714,2012,2,69.3
USGS,8284100,60,99714,2012,3,273.6
USGS,8284100,60,99714,2012,4,1207
USGS,8284100,60,99714,2012,5,438.3
USGS,8284100,60,99714,2012,6,44.2
USGS,8284100,60,99714,2012,7,24.8
USGS,8284100,60,99714,2012,8,31.8
USGS,8284100,60,99714,2012,9,28.8
USGS,8284100,60,99714,2012,10,27.2
USGS,8284100,60,99714,2012,11,32.8
USGS,8284100,60,99714,2012,12,40.6
USGS,8284100,60,99714,2013,1,52.8
USGS,8284100,60,99714,2013,2,53.6
USGS,8284100,60,99714,2013,3,75.8
USGS,8284100,60,99714,2013,4,339.3
USGS,8284100,60,99714,2013,5,561.8
USGS,8284100,60,99714,2013,6,76.1
USGS,8284100,60,99714,2013,7,32.7
USGS,8284100,60,99714,2013,8,80.9
USGS,8284100,60,99714,2013,9,122.4
USGS,8284100,60,99714,2013,10,101.5
USGS,8284100,60,99714,2013,11,95.7
USGS,8284100,60,99714,2013,12,75.1
USGS,8284100,60,99714,2014,1,73.1
USGS,8284100,60,99714,2014,2,92.4
USGS,8284100,60,99714,2014,3,113.9
USGS,8284100,60,99714,2014,4,694.7
USGS,8284100,60,99714,2014,5,637
USGS,8284100,60,99714,2014,6,192.4
USGS,8284100,60,99714,2014,7,44
USGS,8284100,60,99714,2014,8,42.8
USGS,8284100,60,99714,2014,9,24
USGS,8284100,60,99714,2014,10,46.9
USGS,8284100,60,99714,2014,11,63.4
USGS,8284100,60,99714,2014,12,60.5
USGS,8284100,60,99714,2015,1,77.8
USGS,8284100,60,99714,2015,2,83.8
USGS,8284100,60,99714,2015,3,285.3
USGS,8284100,60,99714,2015,4,606.4
USGS,8284100,60,99714,2015,5,1325
USGS,8284100,60,99714,2015,6,630.1
USGS,8284100,60,99714,2015,7,188.4
USGS,8284100,60,99714,2015,8,77.6
USGS,8284100,60,99714,2015,9,55.7
USGS,8284100,60,99714,2015,10,67.4
USGS,8284100,60,99714,2015,11,72.3
USGS,8284100,60,99714,2015,12,69.4
USGS,8284100,60,99714,2016,1,85.6
USGS,8284100,60,99714,2016,2,127.7
USGS,8284100,60,99714,2016,3,246
USGS,8284100,60,99714,2016,4,732
USGS,8284100,60,99714,2016,5,1320
USGS,8284100,60,99714,2016,6,398.2
USGS,8284100,60,99714,2016,7,77.6
USGS,8284100,60,99714,2016,8,80.8
USGS,8284100,60,99714,2016,9,63
USGS,8284100,60,99714,2016,10,51.6
USGS,8284100,60,99714,2016,11,50.4
USGS,8284100,60,99714,2016,12,63.2
USGS,8284100,60,99714,2017,1,72.4
USGS,8284100,60,99714,2017,2,121.1
USGS,8284100,60,99714,2017,3,583.7
USGS,8284100,60,99714,2017,4,1712
USGS,8284100,60,99714,2017,5,2589
USGS,8284100,60,99714,2017,6,1030
USGS,8284100,60,99714,2017,7,163.8
USGS,8284100,60,99714,2017,8,110.7
USGS,8284100,60,99714,2017,9,68.2
USGS,8284100,60,99714,2017,10,144.3
USGS,8284100,60,99714,2017,11,81.5
USGS,8284100,60,99714,2017,12,62.2
USGS,8284100,60,99714,2018,1,60.5
USGS,8284100,60,99714,2018,2,53.9
USGS,8284100,60,99714,2018,3,78.1
USGS,8284100,60,99714,2018,4,679.1
USGS,8284100,60,99714,2018,5,233.6
USGS,8284100,60,99714,2018,6,36.5
USGS,8284100,60,99714,2018,7,17
