5s,15s,5s,3n,4s,2s,12n
USGS,8285500,60,99720,2000,1,90.1
USGS,8285500,60,99720,2000,2,104.8
USGS,8285500,60,99720,2000,3,397.3
USGS,8285500,60,99720,2000,4,521.4
USGS,8285500,60,99720,2000,5,625.3
USGS,8285500,60,99720,2000,6,998.1
USGS,8285500,60,99720,2000,7,853.7
USGS,8285500,60,99720,2000,8,671.3
USGS,8285500,60,99720,2000,9,737.3
USGS,8285500,60,99720,2000,10,310.9
USGS,8285500,60,99720,2000,11,140.8
USGS,8285500,60,99720,2000,12,105.7
USGS,8285500,60,99720,2001,1,113.1
USGS,8285500,60,99720,2001,2,109.5
USGS,8285500,60,99720,2001,3,106.4
USGS,8285500,60,99720,2001,4,107.8
USGS,8285500,60,99720,2001,5,676.3
USGS,8285500,60,99720,2001,6,330.6
USGS,8285500,60,99720,2001,7,247
USGS,8285500,60,99720,2001,8,417.3
USGS,8285500,60,99720,2001,9,734.5
USGS,8285500,60,99720,2001,10,371.9
USGS,8285500,60,99720,2001,11,222.9
USGS,8285500,60,99720,2001,12,224.7
USGS,8285500,60,99720,2002,1,211.7
USGS,8285500,60,99720,2002,2,198.6
USGS,8285500,60,99720,2002,3,197.3
USGS,8285500,60,99720,2002,4,345.3
USGS,8285500,60,99720,2002,5,761.9
USGS,8285500,60,99720,2002,6,950.3
USGS,8285500,60,99720,2002,7,720.3
USGS,8285500,60,99720,2002,8,399.8
USGS,8285500,60,99720,2002,9,113.8
USGS,8285500,60,99720,2002,10,69.3
USGS,8285500,60,99720,2002,11,63.7
USGS,8285500,60,99720,2002,12,51.9
USGS,8285500,60,99720,2003,1,34.4
USGS,8285500,60,99720,2003,2,19.7
USGS,8285500,60,99720,2003,3,138.9
USGS,8285500,60,99720,2003,4,365.6
USGS,8285500,60,99720,2003,5,282.2
USGS,8285500,60,99720,2003,6,430.9
USGS,8285500,60,99720,2003,7,1092
USGS,8285500,60,99720,2003,8,729.4
USGS,8285500,60,99720,2003,9,197.6
USGS,8285500,60,99720,2003,10,173.3
USGS,8285500,60,99720,2003,11,162.6
USGS,8285500,60,99720,2003,12,200.9
USGS,8285500,60,99720,2004,1,220.9
USGS,8285500,60,99720,2004,2,215.3
USGS,8285500,60,99720,2004,3,224
USGS,8285500,60,99720,2004,4,445.5
USGS,8285500,60,99720,2004,5,1106
USGS,8285500,60,99720,2004,6,311.3
USGS,8285500,60,99720,2004,7,535.7
USGS,8285500,60,99720,2004,8,408.7
USGS,8285500,60,99720,2004,9,282.6
USGS,8285500,60,99720,2004,10,96.9
USGS,8285500,60,99720,2004,11,104.8
USGS,8285500,60,99720,2004,12,237.1
USGS,8285500,60,99720,2005,1,77.5
USGS,8285500,60,99720,2005,2,187.4
USGS,8285500,60,99720,2005,3,112.5
USGS,8285500,60,99720,2005,4,1434
USGS,8285500,60,99720,2005,5,1940
USGS,8285500,60,99720,2005,6,103.1
USGS,8285500,60,99720,2005,7,268.5
USGS,8285500,60,99720,2005,8,464.3
USGS,8285500,60,99720,2005,9,514.3
USGS,8285500,60,99720,2005,10,119.6
USGS,8285500,60,99720,2005,11,320
USGS,8285500,60,99720,2005,12,339.9
USGS,8285500,60,99720,2006,1,228.8
USGS,8285500,60,99720,2006,2,271
USGS,8285500,60,99720,2006,3,325.7
USGS,8285500,60,99720,2006,4,559
USGS,8285500,60,99720,2006,5,556.8
USGS,8285500,60,99720,2006,6,785.2
USGS,8285500,60,99720,2006,7,402
USGS,8285500,60,99720,2006,8,173.8
USGS,8285500,60,99720,2006,9,181.4
USGS,8285500,60,99720,2006,10,150
USGS,8285500,60,99720,2006,11,265.9
USGS,8285500,60,99720,2006,12,209.2
USGS,8285500,60,99720,2007,1,206.4
USGS,8285500,60,99720,2007,2,157.9
USGS,8285500,60,99720,2007,3,96.8
USGS,8285500,60,99720,2007,4,153.5
USGS,8285500,60,99720,2007,5,1042
USGS,8285500,60,99720,2007,6,453.4
USGS,8285500,60,99720,2007,7,470.7
USGS,8285500,60,99720,2007,8,433
USGS,8285500,60,99720,2007,9,361.6
USGS,8285500,60,99720,2007,10,95.2
USGS,8285500,60,99720,2007,11,77.7
USGS,8285500,60,99720,2007,12,192.5
USGS,8285500,60,99720,2008,1,105
USGS,8285500,60,99720,2008,2,205.8
USGS,8285500,60,99720,2008,3,986.9
USGS,8285500,60,99720,2008,4,1257
USGS,8285500,60,99720,2008,5,1168
USGS,8285500,60,99720,2008,6,1001
USGS,8285500,60,99720,2008,7,339.1
USGS,8285500,60,99720,2008,8,536
USGS,8285500,60,99720,2008,9,565.7
USGS,8285500,60,99720,2008,10,319
USGS,8285500,60,99720,2008,11,57.4
USGS,8285500,60,99720,2008,12,310
USGS,8285500,60,99720,2009,1,120
USGS,8285500,60,99720,2009,2,58.4
USGS,8285500,60,99720,2009,3,313.6
USGS,8285500,60,99720,2009,4,678.2
USGS,8285500,60,99720,2009,5,2112
USGS,8285500,60,99720,2009,6,389.7
USGS,8285500,60,99720,2009,7,643.3
USGS,8285500,60,99720,2009,8,957.7
USGS,8285500,60,99720,2009,9,600.1
USGS,8285500,60,99720,2009,10,358.6
USGS,8285500,60,99720,2009,11,150.4
USGS,8285500,60,99720,2009,12,186.4
USGS,8285500,60,99720,2010,1,129.3
USGS,8285500,60,99720,2010,2,76.3
USGS,8285500,60,99720,2010,3,120.9
USGS,8285500,60,99720,2010,4,1085
USGS,8285500,60,99720,2010,5,698.5
USGS,8285500,60,99720,2010,6,426.9
USGS,8285500,60,99720,2010,7,720.7
USGS,8285500,60,99720,2010,8,788.8
USGS,8285500,60,99720,2010,9,805.6
USGS,8285500,60,99720,2010,10,302
USGS,8285500,60,99720,2010,11,117.8
USGS,8285500,60,99720,2010,12,225.6
USGS,8285500,60,99720,2011,1,78.1
USGS,8285500,60,99720,2011,2,61.7
USGS,8285500,60,99720,2011,3,132.5
USGS,8285500,60,99720,2011,4,431.9
USGS,8285500,60,99720,2011,5,632.3
USGS,8285500,60,99720,2011,6,768.7
USGS,8285500,60,99720,2011,7,642.7
USGS,8285500,60,99720,2011,8,848.6
USGS,8285500,60,99720,2011,9,629
USGS,8285500,60,99720,2011,10,166.1
USGS,8285500,60,99720,2011,11,266.2
USGS,8285500,60,99720,2011,12,269.7
USGS,8285500,60,99720,2012,1,52.4
USGS,8285500,60,99720,2012,2,60.5
USGS,8285500,60,99720,2012,3,169.6
USGS,8285500,60,99720,2012,4,433.7
USGS,8285500,60,99720,2012,5,611.9
USGS,8285500,60,99720,2012,6,950.8
USGS,8285500,60,99720,2012,7,698.3
USGS,8285500,60,99720,2012,8,671.5
USGS,8285500,60,99720,2012,9,668.3
USGS,8285500,60,99720,2012,10,167
USGS,8285500,60,99720,2012,11,231.5
USGS,8285500,60,99720,2012,12,352.4
USGS,8285500,60,99720,2013,1,160.2
USGS,8285500,60,99720,2013,2,160.5
USGS,8285500,60,99720,2013,3,116.7
USGS,8285500,60,99720,2013,4,347
USGS,8285500,60,99720,2013,5,705.7
USGS,8285500,60,99720,2013,6,737.1
USGS,8285500,60,99720,2013,7,399.8
USGS,8285500,60,99720,2013,8,367
USGS,8285500,60,99720,2013,9,219.6
USGS,8285500,60,99720,2013,10,100.5
USGS,8285500,60,99720,2013,11,157.7
USGS,8285500,60,99720,2013,12,284.7
USGS,8285500,60,99720,2014,1,58.7
USGS,8285500,60,99720,2014,2,49.7
USGS,8285500,60,99720,2014,3,48.5
USGS,8285500,60,99720,2014,4,354.3
USGS,8285500,60,99720,2014,5,456.5
USGS,8285500,60,99720,2014,6,342.5
USGS,8285500,60,99720,2014,7,411.7
USGS,8285500,60,99720,2014,8,421.4
USGS,8285500,60,99720,2014,9,453.7
USGS,8285500,60,99720,2014,10,119.5
USGS,8285500,60,99720,2014,11,126.8
USGS,8285500,60,99720,2014,12,210.1
USGS,8285500,60,99720,2015,1,102.2
USGS,8285500,60,99720,2015,2,57.3
USGS,8285500,60,99720,2015,3,54.3
USGS,8285500,60,99720,2015,4,223.8
USGS,8285500,60,99720,2015,5,430.5
USGS,8285500,60,99720,2015,6,556.5
USGS,8285500,60,99720,2015,7,314
USGS,8285500,60,99720,2015,8,615.2
USGS,8285500,60,99720,2015,9,844.8
USGS,8285500,60,99720,2015,10,319.3
USGS,8285500,60,99720,2015,11,376.3
USGS,8285500,60,99720,2015,12,709
USGS,8285500,60,99720,2016,1,105.5
USGS,8285500,60,99720,2016,2,91
USGS,8285500,60,99720,2016,3,75.5
USGS,8285500,60,99720,2016,4,92.2
USGS,8285500,60,99720,2016,5,973.7
USGS,8285500,60,99720,2016,6,579.1
USGS,8285500,60,99720,2016,7,647.8
USGS,8285500,60,99720,2016,8,670.1
USGS,8285500,60,99720,2016,9,556.4
USGS,8285500,60,99720,2016,10,220.2
USGS,8285500,60,99720,2016,11,196.7
USGS,8285500,60,99720,2016,12,153.3
USGS,8285500,60,99720,2017,1,102.4
USGS,8285500,60,99720,2017,2,108
USGS,8285500,60,99720,2017,3,642.9
USGS,8285500,60,99720,2017,4,1599
USGS,8285500,60,99720,2017,5,1600
USGS,8285500,60,99720,2017,6,616.6
USGS,8285500,60,99720,2017,7,552.5
USGS,8285500,60,99720,2017,8,368.4
USGS,8285500,60,99720,2017,9,676.4
USGS,8285500,60,99720,2017,10,425.7
USGS,8285500,60,99720,2017,11,497.1
USGS,8285500,60,99720,2017,12,353.3
USGS,8285500,60,99720,2018,1,125.8
USGS,8285500,60,99720,2018,2,102.5
USGS,8285500,60,99720,2018,3,85.5
USGS,8285500,60,99720,2018,4,451.4
USGS,8285500,60,99720,2018,5,706.3
USGS,8285500,60,99720,2018,6,736.9
USGS,8285500,60,99720,2018,7,664.3
USGS,8285500,60,99720,2018,8,526
USGS,8285500,60,99720,2018,9,590.8
USGS,8285500,60,99720,2018,10,159.2
USGS,8285500,60,99720,2018,11,86.8
USGS,8285500,60,99720,2018,12,47
USGS,8285500,60,99720,2019,1,25.6
USGS,8285500,60,99720,2019,2,27.7
USGS,8285500,60,99720,2019,3,215.1
USGS,8285500,60,99720,2019,4,1107
USGS,8285500,60,99720,2019,5,1592
USGS,8285500,60,99720,2019,6,1123
USGS,8285500,60,99720,2019,7,499
USGS,8285500,60,99720,2019,8,501.4
USGS,8285500,60,99720,2019,9,700.6
USGS,8285500,60,99720,2019,10,595.9
USGS,8285500,60,99720,2019,11,946.8
USGS,8285500,60,99720,2019,12,275.8
