5s,15s,5s,3n,4s,2s,12n
USGS,8286500,60,99721,2000,1,93.9
USGS,8286500,60,99721,2000,2,113.6
USGS,8286500,60,99721,2000,3,394.5
USGS,8286500,60,99721,2000,4,544.2
USGS,8286500,60,99721,2000,5,637.9
USGS,8286500,60,99721,2000,6,982.5
USGS,8286500,60,99721,2000,7,840.5
USGS,8286500,60,99721,2000,8,655.3
USGS,8286500,60,99721,2000,9,724.4
USGS,8286500,60,99721,2000,10,320
USGS,8286500,60,99721,2000,11,151.6
USGS,8286500,60,99721,2000,12,101.5
USGS,8286500,60,99721,2001,1,112.9
USGS,8286500,60,99721,2001,2,132
USGS,8286500,60,99721,2001,3,124
USGS,8286500,60,99721,2001,4,134.5
USGS,8286500,60,99721,2001,5,712.6
USGS,8286500,60,99721,2001,6,338.3
USGS,8286500,60,99721,2001,7,242.5
USGS,8286500,60,99721,2001,8,421.4
USGS,8286500,60,99721,2001,9,704.6
USGS,8286500,60,99721,2001,10,370.4
USGS,8286500,60,99721,2001,11,224.5
USGS,8286500,60,99721,2001,12,227.2
USGS,8286500,60,99721,2002,1,219.3
USGS,8286500,60,99721,2002,2,210.8
USGS,8286500,60,99721,2002,3,211.4
USGS,8286500,60,99721,2002,4,348.2
USGS,8286500,60,99721,2002,5,762.3
USGS,8286500,60,99721,2002,6,888
USGS,8286500,60,99721,2002,7,681.3
USGS,8286500,60,99721,2002,8,382.4
USGS,8286500,60,99721,2002,9,128.5
USGS,8286500,60,99721,2002,10,61.8
USGS,8286500,60,99721,2002,11,60.3
USGS,8286500,60,99721,2002,12,47.1
USGS,8286500,60,99721,2003,1,30.4
USGS,8286500,60,99721,2003,2,12.2
USGS,8286500,60,99721,2003,3,129.6
USGS,8286500,60,99721,2003,4,389.7
USGS,8286500,60,99721,2003,5,319.3
USGS,8286500,60,99721,2003,6,419.8
USGS,8286500,60,99721,2003,7,1054
USGS,8286500,60,99721,2003,8,746.4
USGS,8286500,60,99721,2003,9,240.4
USGS,8286500,60,99721,2003,10,168.2
USGS,8286500,60,99721,2003,11,145.1
USGS,8286500,60,99721,2003,12,183.7
USGS,8286500,60,99721,2004,1,219.8
USGS,8286500,60,99721,2004,2,233.8
USGS,8286500,60,99721,2004,3,242.9
USGS,8286500,60,99721,2004,4,453.5
USGS,8286500,60,99721,2004,5,1098
USGS,8286500,60,99721,2004,6,300.1
USGS,8286500,60,99721,2004,7,528.6
USGS,8286500,60,99721,2004,8,430.7
USGS,8286500,60,99721,2004,9,297.2
USGS,8286500,60,99721,2004,10,98.5
USGS,8286500,60,99721,2004,11,105
USGS,8286500,60,99721,2004,12,244.8
USGS,8286500,60,99721,2005,1,84.3
USGS,8286500,60,99721,2005,2,202.3
USGS,8286500,60,99721,2005,3,113.3
USGS,8286500,60,99721,2005,4,1407
USGS,8286500,60,99721,2005,5,1987
USGS,8286500,60,99721,2005,6,139.1
USGS,8286500,60,99721,2005,7,264.9
USGS,8286500,60,99721,2005,8,465
USGS,8286500,60,99721,2005,9,511.8
USGS,8286500,60,99721,2005,10,135.9
USGS,8286500,60,99721,2005,11,310.6
USGS,8286500,60,99721,2005,12,308.7
USGS,8286500,60,99721,2006,1,225.6
USGS,8286500,60,99721,2006,2,262.6
USGS,8286500,60,99721,2006,3,294.8
USGS,8286500,60,99721,2006,4,535.3
USGS,8286500,60,99721,2006,5,524.4
USGS,8286500,60,99721,2006,6,786
USGS,8286500,60,99721,2006,7,463.1
USGS,8286500,60,99721,2006,8,259.8
USGS,8286500,60,99721,2006,9,197.8
USGS,8286500,60,99721,2006,10,144.5
USGS,8286500,60,99721,2006,11,260.9
USGS,8286500,60,99721,2006,12,206.1
USGS,8286500,60,99721,2007,1,204.3
USGS,8286500,60,99721,2007,2,161.5
USGS,8286500,60,99721,2007,3,110.7
USGS,8286500,60,99721,2007,4,183.7
USGS,8286500,60,99721,2007,5,1158
USGS,8286500,60,99721,2007,6,495.3
USGS,8286500,60,99721,2007,7,527.4
USGS,8286500,60,99721,2007,8,465.4
USGS,8286500,60,99721,2007,9,398.5
USGS,8286500,60,99721,2007,10,95.9
USGS,8286500,60,99721,2007,11,83.6
USGS,8286500,60,99721,2007,12,209.8
USGS,8286500,60,99721,2008,1,124
USGS,8286500,60,99721,2008,2,258.2
USGS,8286500,60,99721,2008,3,1135
USGS,8286500,60,99721,2008,4,1351
USGS,8286500,60,99721,2008,5,1254
USGS,8286500,60,99721,2008,6,1085
USGS,8286500,60,99721,2008,7,374.1
USGS,8286500,60,99721,2008,8,592.8
USGS,8286500,60,99721,2008,9,594.6
USGS,8286500,60,99721,2008,10,347.8
USGS,8286500,60,99721,2008,11,61.9
USGS,8286500,60,99721,2008,12,331.7
USGS,8286500,60,99721,2009,1,143.2
USGS,8286500,60,99721,2009,2,60.5
USGS,8286500,60,99721,2009,3,336.3
USGS,8286500,60,99721,2009,4,698.5
USGS,8286500,60,99721,2009,5,2238
USGS,8286500,60,99721,2009,6,426
USGS,8286500,60,99721,2009,7,622.2
USGS,8286500,60,99721,2009,8,937.6
USGS,8286500,60,99721,2009,9,608.9
USGS,8286500,60,99721,2009,10,382.3
USGS,8286500,60,99721,2009,11,155.2
USGS,8286500,60,99721,2009,12,189
USGS,8286500,60,99721,2010,1,132
USGS,8286500,60,99721,2010,2,64.7
USGS,8286500,60,99721,2010,3,136.8
USGS,8286500,60,99721,2010,4,1124
USGS,8286500,60,99721,2010,5,769.3
USGS,8286500,60,99721,2010,6,452.6
USGS,8286500,60,99721,2010,7,759.8
USGS,8286500,60,99721,2010,8,813.1
USGS,8286500,60,99721,2010,9,824.6
USGS,8286500,60,99721,2010,10,326.3
USGS,8286500,60,99721,2010,11,113.1
USGS,8286500,60,99721,2010,12,202.6
USGS,8286500,60,99721,2011,1,72.3
USGS,8286500,60,99721,2011,2,49.4
USGS,8286500,60,99721,2011,3,122
USGS,8286500,60,99721,2011,4,432.8
USGS,8286500,60,99721,2011,5,645.2
USGS,8286500,60,99721,2011,6,777.3
USGS,8286500,60,99721,2011,7,618.6
USGS,8286500,60,99721,2011,8,827.8
USGS,8286500,60,99721,2011,9,618
USGS,8286500,60,99721,2011,10,177.3
USGS,8286500,60,99721,2011,11,257.7
USGS,8286500,60,99721,2011,12,275.1
USGS,8286500,60,99721,2012,1,59.4
USGS,8286500,60,99721,2012,2,74.9
USGS,8286500,60,99721,2012,3,183.4
USGS,8286500,60,99721,2012,4,455.3
USGS,8286500,60,99721,2012,5,597
USGS,8286500,60,99721,2012,6,937.4
USGS,8286500,60,99721,2012,7,714.5
USGS,8286500,60,99721,2012,8,670.9
USGS,8286500,60,99721,2012,9,633.7
USGS,8286500,60,99721,2012,10,184
USGS,8286500,60,99721,2012,11,228.2
USGS,8286500,60,99721,2012,12,356.3
USGS,8286500,60,99721,2013,1,170.9
USGS,8286500,60,99721,2013,2,172
USGS,8286500,60,99721,2013,3,132
USGS,8286500,60,99721,2013,4,349.8
USGS,8286500,60,99721,2013,5,696.9
USGS,8286500,60,99721,2013,6,732.5
USGS,8286500,60,99721,2013,7,422.3
USGS,8286500,60,99721,2013,8,393.5
USGS,8286500,60,99721,2013,9,285.6
USGS,8286500,60,99721,2013,10,113.9
USGS,8286500,60,99721,2013,11,158.5
USGS,8286500,60,99721,2013,12,288.6
USGS,8286500,60,99721,2014,1,67.3
USGS,8286500,60,99721,2014,2,55.9
USGS,8286500,60,99721,2014,3,57.5
USGS,8286500,60,99721,2014,4,357.3
USGS,8286500,60,99721,2014,5,452.3
USGS,8286500,60,99721,2014,6,340.5
USGS,8286500,60,99721,2014,7,477.6
USGS,8286500,60,99721,2014,8,452.5
USGS,8286500,60,99721,2014,9,463.1
USGS,8286500,60,99721,2014,10,123.9
USGS,8286500,60,99721,2014,11,118.8
USGS,8286500,60,99721,2014,12,205.2
USGS,8286500,60,99721,2015,1,106.8
USGS,8286500,60,99721,2015,2,74.7
USGS,8286500,60,99721,2015,3,78.8
USGS,8286500,60,99721,2015,4,243
USGS,8286500,60,99721,2015,5,501
USGS,8286500,60,99721,2015,6,579.1
USGS,8286500,60,99721,2015,7,346.6
USGS,8286500,60,99721,2015,8,639.1
USGS,8286500,60,99721,2015,9,857.9
USGS,8286500,60,99721,2015,10,335.1
USGS,8286500,60,99721,2015,11,369.3
USGS,8286500,60,99721,2015,12,717.8
USGS,8286500,60,99721,2016,1,110
USGS,8286500,60,99721,2016,2,107.8
USGS,8286500,60,99721,2016,3,90.5
USGS,8286500,60,99721,2016,4,138.9
USGS,8286500,60,99721,2016,5,1045
USGS,8286500,60,99721,2016,6,606.5
USGS,8286500,60,99721,2016,7,635.3
USGS,8286500,60,99721,2016,8,701.5
USGS,8286500,60,99721,2016,9,536.8
USGS,8286500,60,99721,2016,10,212.5
USGS,8286500,60,99721,2016,11,195.6
USGS,8286500,60,99721,2016,12,168.5
USGS,8286500,60,99721,2017,1,131.2
USGS,8286500,60,99721,2017,2,131.3
USGS,8286500,60,99721,2017,3,681.5
USGS,8286500,60,99721,2017,4,1739
USGS,8286500,60,99721,2017,5,1724
