5s,15s,5s,3n,4s,2s,12n
USGS,8287000,60,99724,2000,1,91.5
USGS,8287000,60,99724,2000,2,105.5
USGS,8287000,60,99724,2000,3,412.9
USGS,8287000,60,99724,2000,4,559.8
USGS,8287000,60,99724,2000,5,977.1
USGS,8287000,60,99724,2000,6,1411
USGS,8287000,60,99724,2000,7,1267
USGS,8287000,60,99724,2000,8,1135
USGS,8287000,60,99724,2000,9,1005
USGS,8287000,60,99724,2000,10,231
USGS,8287000,60,99724,2000,11,61.6
USGS,8287000,60,99724,2000,12,53.4
USGS,8287000,60,99724,2001,1,53.7
USGS,8287000,60,99724,2001,2,62.3
USGS,8287000,60,99724,2001,3,50.6
USGS,8287000,60,99724,2001,4,167.3
USGS,8287000,60,99724,2001,5,170.4
USGS,8287000,60,99724,2001,6,205.6
USGS,8287000,60,99724,2001,7,534.4
USGS,8287000,60,99724,2001,8,605
USGS,8287000,60,99724,2001,9,852.1
USGS,8287000,60,99724,2001,10,462
USGS,8287000,60,99724,2001,11,42.2
USGS,8287000,60,99724,2001,12,43.8
USGS,8287000,60,99724,2002,1,42.8
USGS,8287000,60,99724,2002,2,27.1
USGS,8287000,60,99724,2002,3,137.7
USGS,8287000,60,99724,2002,4,727.3
USGS,8287000,60,99724,2002,5,1080
USGS,8287000,60,99724,2002,6,1094
USGS,8287000,60,99724,2002,7,846.4
USGS,8287000,60,99724,2002,8,838.5
USGS,8287000,60,99724,2002,9,370.3
USGS,8287000,60,99724,2002,10,176.3
USGS,8287000,60,99724,2002,11,49.9
USGS,8287000,60,99724,2002,12,49
USGS,8287000,60,99724,2003,1,43.4
USGS,8287000,60,99724,2003,2,37
USGS,8287000,60,99724,2003,3,146.6
USGS,8287000,60,99724,2003,4,388.2
USGS,8287000,60,99724,2003,5,331.6
USGS,8287000,60,99724,2003,6,504.2
USGS,8287000,60,99724,2003,7,860.3
USGS,8287000,60,99724,2003,8,670.2
USGS,8287000,60,99724,2003,9,306.4
USGS,8287000,60,99724,2003,10,139.8
