5s,15s,5s,3n,4s,2s,12n
USGS,8289000,60,99731,2000,1,14.8
USGS,8289000,60,99731,2000,2,16.6
USGS,8289000,60,99731,2000,3,22.4
USGS,8289000,60,99731,2000,4,112.8
USGS,8289000,60,99731,2000,5,33.4
USGS,8289000,60,99731,2000,6,11
USGS,8289000,60,99731,2000,7,7.45
USGS,8289000,60,99731,2000,8,4.88
USGS,8289000,60,99731,2000,9,3.89
USGS,8289000,60,99731,2000,10,8.25
USGS,8289000,60,99731,2000,11,16.2
USGS,8289000,60,99731,2000,12,16
USGS,8289000,60,99731,2001,1,15.9
USGS,8289000,60,99731,2001,2,20.7
USGS,8289000,60,99731,2001,3,50.5
USGS,8289000,60,99731,2001,4,195.8
USGS,8289000,60,99731,2001,5,166
USGS,8289000,60,99731,2001,6,8.22
USGS,8289000,60,99731,2001,7,4.6
USGS,8289000,60,99731,2001,8,6.09
USGS,8289000,60,99731,2001,9,3.74
USGS,8289000,60,99731,2001,10,7.61
USGS,8289000,60,99731,2001,11,12.6
USGS,8289000,60,99731,2001,12,16.5
USGS,8289000,60,99731,2002,1,15.2
USGS,8289000,60,99731,2002,2,16.3
USGS,8289000,60,99731,2002,3,19.8
USGS,8289000,60,99731,2002,4,21.1
USGS,8289000,60,99731,2002,5,6.53
USGS,8289000,60,99731,2002,6,5.89
USGS,8289000,60,99731,2002,7,5.18
USGS,8289000,60,99731,2002,8,3.43
USGS,8289000,60,99731,2002,9,6.01
USGS,8289000,60,99731,2002,10,10.2
USGS,8289000,60,99731,2002,11,26.9
USGS,8289000,60,99731,2002,12,19.1
USGS,8289000,60,99731,2003,1,19.2
USGS,8289000,60,99731,2003,2,22.2
USGS,8289000,60,99731,2003,3,46.6
USGS,8289000,60,99731,2003,4,192.8
USGS,8289000,60,99731,2003,5,125.1
USGS,8289000,60,99731,2003,6,15.3
USGS,8289000,60,99731,2003,7,4.49
USGS,8289000,60,99731,2003,8,4.05
USGS,8289000,60,99731,2003,9,16.1
USGS,8289000,60,99731,2003,10,8.18
USGS,8289000,60,99731,2003,11,15.7
USGS,8289000,60,99731,2003,12,16.9
USGS,8289000,60,99731,2004,1,17.5
USGS,8289000,60,99731,2004,2,19
USGS,8289000,60,99731,2004,3,113.3
USGS,8289000,60,99731,2004,4,292.6
USGS,8289000,60,99731,2004,5,141.1
USGS,8289000,60,99731,2004,6,6.45
USGS,8289000,60,99731,2004,7,5.31
USGS,8289000,60,99731,2004,8,5.04
USGS,8289000,60,99731,2004,9,4.75
USGS,8289000,60,99731,2004,10,10.5
USGS,8289000,60,99731,2004,11,15.9
USGS,8289000,60,99731,2004,12,15.9
USGS,8289000,60,99731,2005,1,17.8
USGS,8289000,60,99731,2005,2,24.7
USGS,8289000,60,99731,2005,3,33.5
USGS,8289000,60,99731,2005,4,326.3
USGS,8289000,60,99731,2005,5,592.3
USGS,8289000,60,99731,2005,6,48.3
USGS,8289000,60,99731,2005,7,6.2
USGS,8289000,60,99731,2005,8,4.89
USGS,8289000,60,99731,2005,9,4.97
USGS,8289000,60,99731,2005,10,15.1
USGS,8289000,60,99731,2005,11,14.3
USGS,8289000,60,99731,2005,12,14
USGS,8289000,60,99731,2006,1,13.9
USGS,8289000,60,99731,2006,2,15
USGS,8289000,60,99731,2006,3,19.7
USGS,8289000,60,99731,2006,4,110.2
USGS,8289000,60,99731,2006,5,26.8
USGS,8289000,60,99731,2006,6,4.19
USGS,8289000,60,99731,2006,7,4.82
USGS,8289000,60,99731,2006,8,20.8
USGS,8289000,60,99731,2006,9,20.9
USGS,8289000,60,99731,2006,10,24.5
USGS,8289000,60,99731,2006,11,20.1
USGS,8289000,60,99731,2006,12,18.1
USGS,8289000,60,99731,2007,1,21.6
USGS,8289000,60,99731,2007,2,23.4
USGS,8289000,60,99731,2007,3,116.7
USGS,8289000,60,99731,2007,4,171.6
USGS,8289000,60,99731,2007,5,162.9
USGS,8289000,60,99731,2007,6,17.1
USGS,8289000,60,99731,2007,7,11.9
USGS,8289000,60,99731,2007,8,16
USGS,8289000,60,99731,2007,9,10.5
USGS,8289000,60,99731,2007,10,15.7
USGS,8289000,60,99731,2007,11,15.9
USGS,8289000,60,99731,2007,12,31.4
USGS,8289000,60,99731,2008,1,21.7
USGS,8289000,60,99731,2008,2,38.7
USGS,8289000,60,99731,2008,3,119.3
USGS,8289000,60,99731,2008,4,366.4
USGS,8289000,60,99731,2008,5,401.6
USGS,8289000,60,99731,2008,6,48.5
USGS,8289000,60,99731,2008,7,11.2
USGS,8289000,60,99731,2008,8,16.8
USGS,8289000,60,99731,2008,9,10.6
USGS,8289000,60,99731,2008,10,14
USGS,8289000,60,99731,2008,11,16.4
USGS,8289000,60,99731,2008,12,18.4
USGS,8289000,60,99731,2009,1,23.2
USGS,8289000,60,99731,2009,2,25.6
USGS,8289000,60,99731,2009,3,58.4
USGS,8289000,60,99731,2009,4,280.7
USGS,8289000,60,99731,2009,5,369.1
USGS,8289000,60,99731,2009,6,32
USGS,8289000,60,99731,2009,7,8.42
USGS,8289000,60,99731,2009,8,4.97
USGS,8289000,60,99731,2009,9,6.6
USGS,8289000,60,99731,2009,10,11.7
USGS,8289000,60,99731,2009,11,17.3
USGS,8289000,60,99731,2009,12,17.2
USGS,8289000,60,99731,2010,1,18.3
USGS,8289000,60,99731,2010,2,20.2
USGS,8289000,60,99731,2010,3,40.3
USGS,8289000,60,99731,2010,4,379.4
USGS,8289000,60,99731,2010,5,258
USGS,8289000,60,99731,2010,6,14.3
USGS,8289000,60,99731,2010,7,9.77
USGS,8289000,60,99731,2010,8,14.9
USGS,8289000,60,99731,2010,9,7.67
USGS,8289000,60,99731,2010,10,10.2
USGS,8289000,60,99731,2010,11,14.2
USGS,8289000,60,99731,2010,12,15.9
USGS,8289000,60,99731,2011,1,15.8
USGS,8289000,60,99731,2011,2,17
USGS,8289000,60,99731,2011,3,23.1
USGS,8289000,60,99731,2011,4,99.4
USGS,8289000,60,99731,2011,5,136.7
USGS,8289000,60,99731,2011,6,23.5
USGS,8289000,60,99731,2011,7,3.14
USGS,8289000,60,99731,2011,8,4.11
USGS,8289000,60,99731,2011,9,8.8
USGS,8289000,60,99731,2011,10,13.6
USGS,8289000,60,99731,2011,11,16.9
USGS,8289000,60,99731,2011,12,17.2
USGS,8289000,60,99731,2012,1,17.6
USGS,8289000,60,99731,2012,2,19
USGS,8289000,60,99731,2012,3,94.7
USGS,8289000,60,99731,2012,4,214
USGS,8289000,60,99731,2012,5,30.6
USGS,8289000,60,99731,2012,6,5.55
USGS,8289000,60,99731,2012,7,4.11
USGS,8289000,60,99731,2012,8,5.72
USGS,8289000,60,99731,2012,9,5.18
USGS,8289000,60,99731,2012,10,8.55
USGS,8289000,60,99731,2012,11,14.1
USGS,8289000,60,99731,2012,12,15.7
USGS,8289000,60,99731,2013,1,16.5
USGS,8289000,60,99731,2013,2,17.4
USGS,8289000,60,99731,2013,3,21.5
USGS,8289000,60,99731,2013,4,76.2
USGS,8289000,60,99731,2013,5,50.5
USGS,8289000,60,99731,2013,6,5.46
USGS,8289000,60,99731,2013,7,16.1
USGS,8289000,60,99731,2013,8,12.1
USGS,8289000,60,99731,2013,9,24.6
USGS,8289000,60,99731,2013,10,18.7
USGS,8289000,60,99731,2013,11,24.6
USGS,8289000,60,99731,2013,12,21.3
USGS,8289000,60,99731,2014,1,18.7
USGS,8289000,60,99731,2014,2,24.1
USGS,8289000,60,99731,2014,3,26.8
USGS,8289000,60,99731,2014,4,119.2
USGS,8289000,60,99731,2014,5,43.4
USGS,8289000,60,99731,2014,6,8
USGS,8289000,60,99731,2014,7,12.8
USGS,8289000,60,99731,2014,8,7.44
USGS,8289000,60,99731,2014,9,5.28
USGS,8289000,60,99731,2014,10,11.3
USGS,8289000,60,99731,2014,11,13.9
USGS,8289000,60,99731,2014,12,16.3
USGS,8289000,60,99731,2015,1,19.5
USGS,8289000,60,99731,2015,2,24
USGS,8289000,60,99731,2015,3,80
USGS,8289000,60,99731,2015,4,142.7
USGS,8289000,60,99731,2015,5,149.2
USGS,8289000,60,99731,2015,6,28.7
USGS,8289000,60,99731,2015,7,13.8
USGS,8289000,60,99731,2015,8,15.1
USGS,8289000,60,99731,2015,9,8.3
USGS,8289000,60,99731,2015,10,13.5
USGS,8289000,60,99731,2015,11,20.3
USGS,8289000,60,99731,2015,12,20
USGS,8289000,60,99731,2016,1,19.1
USGS,8289000,60,99731,2016,2,22.8
USGS,8289000,60,99731,2016,3,37.6
USGS,8289000,60,99731,2016,4,133.2
USGS,8289000,60,99731,2016,5,115.1
USGS,8289000,60,99731,2016,6,12.2
USGS,8289000,60,99731,2016,7,5.14
USGS,8289000,60,99731,2016,8,18.5
USGS,8289000,60,99731,2016,9,9.59
USGS,8289000,60,99731,2016,10,9.98
USGS,8289000,60,99731,2016,11,13.8
USGS,8289000,60,99731,2016,12,17.9
