5s,15s,5s,3n,4s,2s,12n
USGS,8290000,60,99734,2000,1,128.4
USGS,8290000,60,99734,2000,2,142
USGS,8290000,60,99734,2000,3,425.7
USGS,8290000,60,99734,2000,4,599.7
USGS,8290000,60,99734,2000,5,938.4
USGS,8290000,60,99734,2000,6,1429
USGS,8290000,60,99734,2000,7,1263
USGS,8290000,60,99734,2000,8,1114
USGS,8290000,60,99734,2000,9,975.7
USGS,8290000,60,99734,2000,10,242.2
USGS,8290000,60,99734,2000,11,81.3
USGS,8290000,60,99734,2000,12,74.2
USGS,8290000,60,99734,2001,1,89.1
USGS,8290000,60,99734,2001,2,107
USGS,8290000,60,99734,2001,3,130.2
USGS,8290000,60,99734,2001,4,414.7
USGS,8290000,60,99734,2001,5,328
USGS,8290000,60,99734,2001,6,136.3
USGS,8290000,60,99734,2001,7,531.3
USGS,8290000,60,99734,2001,8,600.9
USGS,8290000,60,99734,2001,9,802.1
USGS,8290000,60,99734,2001,10,442.5
USGS,8290000,60,99734,2001,11,51.4
USGS,8290000,60,99734,2001,12,63.9
USGS,8290000,60,99734,2002,1,65.3
USGS,8290000,60,99734,2002,2,56.1
USGS,8290000,60,99734,2002,3,144.5
USGS,8290000,60,99734,2002,4,710.5
USGS,8290000,60,99734,2002,5,1087
USGS,8290000,60,99734,2002,6,1109
USGS,8290000,60,99734,2002,7,839.1
USGS,8290000,60,99734,2002,8,824.1
USGS,8290000,60,99734,2002,9,390
USGS,8290000,60,99734,2002,10,163.9
USGS,8290000,60,99734,2002,11,68.9
USGS,8290000,60,99734,2002,12,63.4
USGS,8290000,60,99734,2003,1,73.8
USGS,8290000,60,99734,2003,2,71.2
USGS,8290000,60,99734,2003,3,191.6
USGS,8290000,60,99734,2003,4,533
USGS,8290000,60,99734,2003,5,381.7
USGS,8290000,60,99734,2003,6,437
USGS,8290000,60,99734,2003,7,759.3
USGS,8290000,60,99734,2003,8,597.1
USGS,8290000,60,99734,2003,9,280
USGS,8290000,60,99734,2003,10,134.3
USGS,8290000,60,99734,2003,11,125.2
USGS,8290000,60,99734,2003,12,142.4
USGS,8290000,60,99734,2004,1,66.3
USGS,8290000,60,99734,2004,2,76.2
USGS,8290000,60,99734,2004,3,175.2
USGS,8290000,60,99734,2004,4,551.8
USGS,8290000,60,99734,2004,5,1174
USGS,8290000,60,99734,2004,6,359.7
USGS,8290000,60,99734,2004,7,459.2
USGS,8290000,60,99734,2004,8,444.5
USGS,8290000,60,99734,2004,9,428.6
USGS,8290000,60,99734,2004,10,121.8
USGS,8290000,60,99734,2004,11,117.8
USGS,8290000,60,99734,2004,12,309.3
USGS,8290000,60,99734,2005,1,134
USGS,8290000,60,99734,2005,2,238.9
USGS,8290000,60,99734,2005,3,180.5
USGS,8290000,60,99734,2005,4,1381
USGS,8290000,60,99734,2005,5,2497
USGS,8290000,60,99734,2005,6,1375
USGS,8290000,60,99734,2005,7,190.8
USGS,8290000,60,99734,2005,8,394.5
USGS,8290000,60,99734,2005,9,389.7
USGS,8290000,60,99734,2005,10,129.3
USGS,8290000,60,99734,2005,11,112.4
USGS,8290000,60,99734,2005,12,144.5
USGS,8290000,60,99734,2006,1,70.3
USGS,8290000,60,99734,2006,2,57.2
USGS,8290000,60,99734,2006,3,146
USGS,8290000,60,99734,2006,4,598
USGS,8290000,60,99734,2006,5,666.1
USGS,8290000,60,99734,2006,6,886
