5s,15s,5s,3n,4s,2s,12n
USGS,8355490,60,99936,2005,10,308
USGS,8355490,60,99936,2005,11,608.9
USGS,8355490,60,99936,2005,12,618.9
USGS,8355490,60,99936,2006,1,585.8
USGS,8355490,60,99936,2006,2,515.8
USGS,8355490,60,99936,2006,3,211.6
USGS,8355490,60,99936,2006,4,75
USGS,8355490,60,99936,2006,5,65.7
USGS,8355490,60,99936,2006,6,83.9
USGS,8355490,60,99936,2006,7,868.1
USGS,8355490,60,99936,2006,8,3225
USGS,8355490,60,99936,2006,9,292.6
USGS,8355490,60,99936,2006,10,811.5
USGS,8355490,60,99936,2006,11,1168
USGS,8355490,60,99936,2006,12,839.3
USGS,8355490,60,99936,2007,1,680.4
USGS,8355490,60,99936,2007,2,630.4
USGS,8355490,60,99936,2007,3,691.4
USGS,8355490,60,99936,2007,4,685.9
USGS,8355490,60,99936,2007,5,1713
USGS,8355490,60,99936,2007,6,552.4
USGS,8355490,60,99936,2007,7,34.3
USGS,8355490,60,99936,2007,8,69.2
USGS,8355490,60,99936,2007,9,126.1
USGS,8355490,60,99936,2007,10,57.1
USGS,8355490,60,99936,2007,11,465.4
USGS,8355490,60,99936,2007,12,797.4
USGS,8355490,60,99936,2008,1,732.6
USGS,8355490,60,99936,2008,2,982
USGS,8355490,60,99936,2008,3,1549
USGS,8355490,60,99936,2008,4,2529
USGS,8355490,60,99936,2008,5,3415
USGS,8355490,60,99936,2008,6,2587
USGS,8355490,60,99936,2008,7,924.9
USGS,8355490,60,99936,2008,8,343.4
USGS,8355490,60,99936,2008,9,158.9
USGS,8355490,60,99936,2008,10,295.3
USGS,8355490,60,99936,2008,11,477.6
USGS,8355490,60,99936,2008,12,608.3
USGS,8355490,60,99936,2009,1,720.4
USGS,8355490,60,99936,2009,2,679.1
USGS,8355490,60,99936,2009,3,647.9
USGS,8355490,60,99936,2009,4,1063
USGS,8355490,60,99936,2009,5,3165
USGS,8355490,60,99936,2009,6,1221
USGS,8355490,60,99936,2009,7,175.5
USGS,8355490,60,99936,2009,8,29.3
USGS,8355490,60,99936,2009,9,216.8
USGS,8355490,60,99936,2009,10,106.5
USGS,8355490,60,99936,2009,11,442
USGS,8355490,60,99936,2009,12,550.7
USGS,8355490,60,99936,2010,1,632.3
USGS,8355490,60,99936,2010,2,619.5
USGS,8355490,60,99936,2010,3,524.3
USGS,8355490,60,99936,2010,4,1545
USGS,8355490,60,99936,2010,5,2001
USGS,8355490,60,99936,2010,6,580.8
USGS,8355490,60,99936,2010,7,120.1
USGS,8355490,60,99936,2010,8,269.2
USGS,8355490,60,99936,2010,9,72.6
USGS,8355490,60,99936,2010,10,40.2
USGS,8355490,60,99936,2010,11,440
USGS,8355490,60,99936,2010,12,715.6
USGS,8355490,60,99936,2011,1,677.2
USGS,8355490,60,99936,2011,2,632.8
USGS,8355490,60,99936,2011,3,309.6
USGS,8355490,60,99936,2011,4,77.1
USGS,8355490,60,99936,2011,5,146.2
USGS,8355490,60,99936,2011,6,264.6
USGS,8355490,60,99936,2011,7,13.5
USGS,8355490,60,99936,2011,8,116.4
USGS,8355490,60,99936,2011,9,98.3
USGS,8355490,60,99936,2011,10,69.9
USGS,8355490,60,99936,2011,11,639.2
USGS,8355490,60,99936,2011,12,717.2
USGS,8355490,60,99936,2012,1,567.8
USGS,8355490,60,99936,2012,2,626.9
USGS,8355490,60,99936,2012,3,551.4
USGS,8355490,60,99936,2012,4,850.8
USGS,8355490,60,99936,2012,5,239.8
USGS,8355490,60,99936,2012,6,38
USGS,8355490,60,99936,2012,7,43.8
USGS,8355490,60,99936,2012,8,8.66
USGS,8355490,60,99936,2012,9,12.2
USGS,8355490,60,99936,2012,10,0.152
USGS,8355490,60,99936,2012,11,298.8
USGS,8355490,60,99936,2012,12,725.1
USGS,8355490,60,99936,2013,1,355.2
USGS,8355490,60,99936,2013,2,468.9
USGS,8355490,60,99936,2013,3,163.7
USGS,8355490,60,99936,2013,4,65.8
USGS,8355490,60,99936,2013,5,77.6
USGS,8355490,60,99936,2013,6,7.47
USGS,8355490,60,99936,2013,7,208
USGS,8355490,60,99936,2013,8,144.1
USGS,8355490,60,99936,2013,9,1158
USGS,8355490,60,99936,2013,10,492.8
USGS,8355490,60,99936,2013,11,774.8
USGS,8355490,60,99936,2013,12,710.2
USGS,8355490,60,99936,2014,1,515.7
USGS,8355490,60,99936,2014,2,548.9
USGS,8355490,60,99936,2014,3,330.1
USGS,8355490,60,99936,2014,4,91.7
USGS,8355490,60,99936,2014,5,400.2
USGS,8355490,60,99936,2014,6,119.9
USGS,8355490,60,99936,2014,7,164.8
USGS,8355490,60,99936,2014,8,449.3
USGS,8355490,60,99936,2014,9,114
USGS,8355490,60,99936,2014,10,91.8
USGS,8355490,60,99936,2014,11,510.1
USGS,8355490,60,99936,2014,12,711.2
USGS,8355490,60,99936,2015,1,524.5
USGS,8355490,60,99936,2015,2,655.5
USGS,8355490,60,99936,2015,3,602.1
USGS,8355490,60,99936,2015,4,400.1
USGS,8355490,60,99936,2015,5,918.8
USGS,8355490,60,99936,2015,6,862.4
USGS,8355490,60,99936,2015,7,842.4
USGS,8355490,60,99936,2015,8,289.1
USGS,8355490,60,99936,2015,9,15.7
USGS,8355490,60,99936,2015,10,138
USGS,8355490,60,99936,2015,11,714.9
USGS,8355490,60,99936,2015,12,1281
USGS,8355490,60,99936,2016,1,610.3
USGS,8355490,60,99936,2016,2,686.7
USGS,8355490,60,99936,2016,3,584.6
USGS,8355490,60,99936,2016,4,313.3
USGS,8355490,60,99936,2016,5,1006
USGS,8355490,60,99936,2016,6,1741
USGS,8355490,60,99936,2016,7,62.9
USGS,8355490,60,99936,2016,8,86.9
USGS,8355490,60,99936,2016,9,10.5
USGS,8355490,60,99936,2016,10,13
USGS,8355490,60,99936,2016,11,
USGS,8355490,60,99936,2016,12,667.3
USGS,8355490,60,99936,2017,1,710.6
USGS,8355490,60,99936,2017,2,786.4
USGS,8355490,60,99936,2017,3,1338
USGS,8355490,60,99936,2017,4,2763
USGS,8355490,60,99936,2017,5,3404
USGS,8355490,60,99936,2017,6,1758
USGS,8355490,60,99936,2017,7,55.2
USGS,8355490,60,99936,2017,8,98.4
USGS,8355490,60,99936,2017,9,126.3
USGS,8355490,60,99936,2017,10,1138
USGS,8355490,60,99936,2017,11,1019
USGS,8355490,60,99936,2017,12,1157
USGS,8355490,60,99936,2018,1,532.3
USGS,8355490,60,99936,2018,2,553.3
USGS,8355490,60,99936,2018,3,200.8
USGS,8355490,60,99936,2018,4,7.66
USGS,8355490,60,99936,2018,5,0
USGS,8355490,60,99936,2018,6,0
USGS,8355490,60,99936,2018,7,94.6
USGS,8355490,60,99936,2018,8,60.8
USGS,8355490,60,99936,2018,9,20.9
USGS,8355490,60,99936,2018,10,110.3
USGS,8355490,60,99936,2018,11,247.9
USGS,8355490,60,99936,2018,12,360.4
USGS,8355490,60,99936,2019,1,420.6
USGS,8355490,60,99936,2019,2,475.6
USGS,8355490,60,99936,2019,3,894.5
USGS,8355490,60,99936,2019,4,1968
USGS,8355490,60,99936,2019,5,3348
USGS,8355490,60,99936,2019,6,3430
USGS,8355490,60,99936,2019,7,2048
USGS,8355490,60,99936,2019,8,483.7
USGS,8355490,60,99936,2019,9,57.9
USGS,8355490,60,99936,2019,10,287.2
USGS,8355490,60,99936,2019,11,1169
USGS,8355490,60,99936,2019,12,881.1
