,Q_CA,Q_COUP,Q_RGUP,Q_RGLOW,Q_RCUP,Q_RCTRI,D_CA,D_COUP,D_COLOW,D_RG,Scaled_D_RG
1,0.038276118,0.455199759,0.034805172,0.046409343,0.003515748,0.004491937,0.137446713,0.291389432,0.325267443,0.003538981,0.004926917
2,0.053415851,0.452989363,0.037520886,0.045469853,0.003625845,0.006657168,0.143064031,0.269124869,0.324358368,0.004016585,0.00559183
3,0.043847747,0.769962886,0.052383913,0.038482395,0.004220366,0.009571055,0.349700954,0.360585089,0.54923534,0.039808859,0.055421306
4,0.114046327,1.635747432,0.106353215,0.113399391,0.083159553,0.01695486,0.418564317,0.41367092,0.608731014,0.058854624,0.081936539
5,0.134351875,2.677812305,0.114133368,0.146868726,0.134611316,0.054130777,0.467553184,0.535005895,0.53658847,0.070016432,0.097475843
6,0.180232397,4.625453789,0.091673682,0.042629363,0.028184703,0.009622434,0.471260532,0.589290333,0.554951286,0.074330671,0.103482062
7,0.271430974,1.542454405,0.027509444,0.008815059,0.003831358,-0.011369298,0.515499366,0.638528264,0.462092445,0.070934584,0.098754081
8,0.332205768,1.175912255,0.030430671,0.019758651,0.005358029,-0.018987976,0.441668483,0.618014047,0.442782316,0.061947616,0.086242556
9,0.257514853,0.5783319,0.018665026,0.00532867,0.002847829,-0.013270298,0.37122111,0.518425194,0.497009797,0.05803694,0.080798172
10,0.178697948,0.684428448,0.019832049,0.002950586,0.002928567,-0.000256892,0.262638359,0.444278158,0.429236238,0.051433661,0.071605184
11,0.216983934,0.494732793,0.035766682,0.032294972,0.003625845,-0.002554239,0.257502938,0.338135025,0.421449279,0.015616649,0.021741268
12,0.146157512,0.578425644,0.040368715,0.052523368,0.003082702,-0.000381668,0.209756062,0.29829568,0.425852803,0.0067445,0.009389594
13,0.163480505,0.382388668,0.033909721,0.049704898,0.002679015,0.004124949,0.597492914,0.293882322,0.32916894,0.023160179,0.032243259
14,0.093809854,0.390598711,0.036610755,0.046446042,0.002994625,0.005086458,0.465524258,0.271427281,0.426346195,0.008346506,0.011619883
15,0.182631516,0.789720768,0.042387151,0.022723917,0.009226086,0.006011269,0.760400566,0.36366996,0.618006784,0.042821761,0.059615823
16,0.162555395,1.540894053,0.024294627,0.00565896,0.04241651,0.012543661,0.671449575,0.41720995,0.650840788,0.059280022,0.082528771
17,0.19705213,3.79850166,0.033880362,0.010730738,0.103637502,0.01318222,0.911437787,0.539582967,0.542739834,0.073712998,0.102622147
18,0.224373712,8.247487632,0.059158517,0.019421022,0.048457138,0.006547072,0.875235704,0.594331819,0.547230935,0.064554884,0.089872357
19,0.324211584,5.537129958,0.041425642,0.000990868,0.005842454,-0.000381668,0.991922369,0.643990989,0.481022663,0.065937971,0.09179787
20,0.331420041,1.589567174,0.02420655,0.008543488,0.002737733,-0.020866956,0.938412268,0.623301269,0.397173159,0.061715803,0.08591983
21,0.264712209,0.871797761,0.02010362,0.00721499,0.003728601,-0.022892731,0.795561049,0.522860415,0.381845937,0.050725157,0.070618815
22,0.193593453,0.781695747,0.027825054,0.005130497,0.006356238,1.47E-05,0.749386873,0.448079038,0.398863027,0.036459675,0.050758622
23,0.197758914,0.649159555,0.04931589,0.046915787,0.00564428,-5.87E-05,0.623175287,0.341027831,0.408960294,0.037860061,0.052708218
24,0.190488783,0.444753417,0.035546489,0.052640805,0.004844246,0.002781771,0.537920283,0.300847654,0.373342326,0.009711376,0.013520034
25,0.134235928,0.470973501,0.035986875,0.041675194,0.004866265,0.007765473,0.430717179,0.30938116,0.447147601,0.005673171,0.007898105
26,0.077339196,0.474306364,0.038937461,0.046012996,0.005086458,0.008059064,0.471715587,0.28574188,0.490678344,0.004393015,0.006115891
27,0.06961021,0.90481062,0.061808173,0.040471472,0.020081601,0.010283013,0.524908795,0.382849276,0.617008899,0.038415942,0.053482108
28,0.116996812,1.509934938,0.060237463,0.062446733,0.08859098,0.015552965,0.876665221,0.439212871,0.631424579,0.059207102,0.082427253
29,0.192078739,1.669723638,0.044141355,0.01760076,0.032170196,0.001695486,0.93461458,0.568039627,0.57449331,0.062378215,0.086842031
30,0.216599088,1.32565056,0.023736805,0.002789111,0.003244177,0.009996762,0.883053266,0.625675837,0.507506712,0.067550349,0.094042598
31,0.229957676,0.919211499,0.018276018,0.003214818,0.001820262,0.010136217,0.863063982,0.677953945,0.379577567,0.070832239,0.098611597
32,0.210390983,0.782408699,0.016198864,0.000635624,0.002334046,0.000719297,0.801831692,0.656173086,0.395997653,0.059838249,0.083305927
33,0.161481034,0.464274471,0.015934633,0.000895452,0.002113853,-0.026313063,0.667690199,0.550435157,0.421112539,0.035069666,0.048823471
34,0.172383764,0.421787253,0.017035598,1.12E-05,2.00E-03,0.002979945,0.428291541,0.471709941,0.24226904,0.033619104,0.04680402
35,0.171067641,0.387401531,0.023068886,0.021931222,0.002407443,0.00157071,0.329470674,0.359013041,0.39967589,0.036999156,0.051509679
36,0.101998929,0.279991326,0.028250761,0.053220646,0.002979945,0.004580014,0.237466017,0.316713832,0.312858634,0.004178236,0.005816879
37,0.120953815,0.264376702,0.026907584,0.02607085,0.003875397,-0.003794659,0.425697544,0.237720184,0.297774407,0,0
38,0.092980956,0.355486469,0.03142154,0.034416165,0.003934115,-0.005233253,0.269070007,0.219556395,0.451367336,0.005796296,0.008069518
39,0.101683157,0.441659849,0.039480603,0.012015198,0.005563543,0.000535803,0.761684545,0.294171113,0.615993745,0.032954152,0.045878284
40,0.107296725,0.671722371,0.02734063,0.004829566,0.024903827,0.019362304,0.792400763,0.337479387,0.651426691,0.044373394,0.061775984
41,0.102894435,2.421101681,0.022569782,0.005695659,0.041234808,0.008066403,0.874665861,0.43646641,0.571431813,0.055225214,0.076883727
42,0.103015316,2.419818861,0.017864991,0.000548281,0.005585562,0.011031669,0.887625419,0.480752528,0.508101249,0.055166565,0.076802077
43,0.109937606,1.075350331,0.014826328,0.015266714,0.002400104,-0.013057444,0.839524053,0.520921624,0.429312714,0.046579816,0.064847733
44,0.108982892,0.896142956,0.019032014,0.010576603,0.005937871,-0.007589318,0.773417666,0.504185796,0.419959235,0.025112986,0.034961929
45,0.105690734,1.415156802,0.034797833,0.084994495,0.008983874,0.007097554,0.655738604,0.422939608,0.435398704,0.028587321,0.039798847
46,0.119020952,0.798221912,0.039025538,0.036170369,0.007449863,0.012778533,0.716411388,0.362449264,0.451337733,0.042310926,0.058904647
47,0.094701661,0.643772948,0.047378192,0.05686851,0.007024156,0.000998208,0.518192509,0.27585599,0.37153281,0.009983486,0.013898862
48,0.070399637,0.416581967,0.037748419,0.052127021,0.005512165,-0.010833495,0.591829785,0.243354412,0.350020919,0.001847364,0.002571873
49,0.053382548,0.380338624,0.034724435,0.037851175,0.005365369,0.003310235,0.32887325,0.267155628,0.33076753,0.003664286,0.005101364
50,0.046524399,0.459863547,0.039972368,0.040287978,0.006781944,0.004220366,0.309858823,0.246742727,0.446107778,0.00446131,0.006210971
51,0.032587308,0.691813293,0.050703106,0.024228569,0.008359994,0.003559787,0.505266021,0.330596532,0.687386334,0.031986294,0.044530846
52,0.01076458,1.562317134,0.035025365,0.006730566,0.050989357,0.007178292,0.600420085,0.379267407,0.714890471,0.048139851,0.06701959
53,0.015767575,3.613130585,0.049756276,0.029373745,0.046754312,0.026658032,0.671190507,0.490511391,0.58206441,0.055606589,0.077414673
54,0.04995594,4.844702392,0.067709345,0.00880038,0.014121711,0.005857134,0.636391391,0.540281189,0.499077109,0.060086771,0.083651915
55,0.069299373,1.879438674,0.040897178,0.012095935,0.003229497,-0.000924811,0.646721532,0.585424179,0.472590593,0.057899052,0.080606205
56,0.070847391,1.109752088,0.035781361,0.03297757,0.00314142,-0.004521296,0.516437181,0.566616056,0.392160296,0.051868499,0.072210559
57,0.066288449,0.973901535,0.023289079,0.008367334,0.001761544,-0.002554239,0.485592472,0.475309647,0.419865491,0.045832581,0.063807443
58,0.066511709,1.08358381,0.035553828,0.006737906,0.00344235,0.001629428,0.453234245,0.407329151,0.392858446,0.040942712,0.05699984
